step,energy_ry
1,-7418.3960765
2,-7418.41305753
3,-7418.42521752
4,-7418.43684656
5,-7418.44439975
6,-7418.4489551
7,-7418.45348354
8,-7418.45838062
9,-7418.46150486
10,-7418.46263907
11,-7418.46404003
12,-7418.46527732
13,-7418.46627736
14,-7418.46713945
15,-7418.46842641
16,-7418.46959068
17,-7418.47075828
18,-7418.47197389
19,-7418.47328226
20,-7418.47439762
21,-7418.47554812
22,-7418.4763337
23,-7418.47761456
24,-7418.47824232
25,-7418.47891456
26,-7418.47960536
27,-7418.48022392
28,-7418.48053586
29,-7418.48088125
30,-7418.48144139
31,-7418.48181615
32,-7418.48233333
33,-7418.4829395
34,-7418.48362973
35,-7418.48432422
36,-7418.48520777
37,-7418.48638771
38,-7418.48748937
39,-7418.48840896
40,-7418.48907836
41,-7418.48965416
42,-7418.49016488
43,-7418.49051863
44,-7418.49078655
45,-7418.49104376
46,-7418.49130643
47,-7418.49154689
48,-7418.491754
49,-7418.4919949
50,-7418.49224825
51,-7418.49248142
52,-7418.49267445
53,-7418.49285616
54,-7418.49304612
55,-7418.49321944
56,-7418.49335618
57,-7418.49346852
58,-7418.49357336
59,-7418.49367124
60,-7418.49375197
61,-7418.49381757
