step,total_force_ry_bohr
1,0.147711
2,0.111569
3,0.089303
4,0.072383
5,0.08487
6,0.06266
7,0.046716
8,0.039542
9,0.049355
10,0.043306
11,0.029664
12,0.022031
13,0.028181
14,0.030996
15,0.028911
16,0.025831
17,0.027533
18,0.030893
19,0.029247
20,0.028659
21,0.035871
22,0.043085
23,0.026063
24,0.021247
25,0.017253
26,0.015524
27,0.015911
28,0.014863
29,0.013975
30,0.019821
31,0.02411
32,0.019502
33,0.01732
34,0.017546
35,0.021053
36,0.02502
37,0.026688
38,0.023557
39,0.019513
40,0.019051
41,0.017938
42,0.015974
43,0.012409
44,0.014249
45,0.012662
46,0.011811
47,0.011067
48,0.011339
49,0.012787
50,0.011905
51,0.010782
52,0.010114
53,0.010185
54,0.010516
55,0.009098
56,0.008188
57,0.007985
58,0.007496
59,0.007035
60,0.006313
61,0.00587
62,0.005547
63,0.005211
