step,energy_ry
1,-7418.40512051
2,-7418.4369051
3,-7418.45176672
4,-7418.46529886
5,-7418.47037196
6,-7418.47802683
7,-7418.48235344
8,-7418.48446401
9,-7418.48659144
10,-7418.48864332
11,-7418.49024922
12,-7418.4919554
13,-7418.49329656
14,-7418.49436341
15,-7418.49503073
16,-7418.49558772
17,-7418.4960926
18,-7418.49647639
19,-7418.49675216
20,-7418.49693198
21,-7418.49719425
22,-7418.49740155
23,-7418.49761902
24,-7418.49786957
25,-7418.49814836
26,-7418.49844224
27,-7418.49872906
28,-7418.49913404
29,-7418.4996299
30,-7418.49987491
31,-7418.50011545
32,-7418.50029768
33,-7418.50050768
34,-7418.50068306
35,-7418.5008499
36,-7418.50101234
37,-7418.50116153
38,-7418.50127609
39,-7418.50137481
40,-7418.5014702
41,-7418.50155884
42,-7418.50162214
43,-7418.50166549
44,-7418.5017042
45,-7418.50174483
46,-7418.50178771
47,-7418.50183468
48,-7418.50188658
49,-7418.50194335
50,-7418.50200864
51,-7418.50208143
52,-7418.5021859
53,-7418.5023181
54,-7418.50244514
55,-7418.50259149
56,-7418.5027765
57,-7418.50295652
58,-7418.50321521
59,-7418.50369977
60,-7418.50430061
61,-7418.50478218
62,-7418.50589926
63,-7418.50748698
64,-7418.50914723
65,-7418.51235221
66,-7418.51636223
67,-7418.52094222
68,-7418.52574095
69,-7418.52861123
70,-7418.5305121
71,-7418.53288241
72,-7418.53413055
73,-7418.53512032
74,-7418.53591274
75,-7418.53671217
76,-7418.53747559
77,-7418.53798611
78,-7418.53853489
79,-7418.53897834
80,-7418.53931476
81,-7418.53965956
82,-7418.53998176
83,-7418.54028646
84,-7418.54054837
85,-7418.54080038
86,-7418.54106407
87,-7418.54131267
88,-7418.54151167
89,-7418.54166875
90,-7418.54182171
91,-7418.54196037
92,-7418.54208363
93,-7418.54218207
94,-7418.54226968
95,-7418.5423481
96,-7418.54241492
97,-7418.54246966
98,-7418.54251353
99,-7418.54254906
100,-7418.54257617
101,-7418.54259878
