step,gradient_error_ry_bohr
1,0.12
2,0.092
3,0.043
4,0.023
5,0.036
6,0.025
7,0.017
8,0.011
9,0.015
10,0.015
11,0.015
12,0.016
13,0.012
14,0.0089
15,0.0048
16,0.0088
17,0.0092
18,0.0062
19,0.0051
20,0.0093
21,0.0062
22,0.0046
23,0.0027
24,0.0029
25,0.0038
26,0.0046
27,0.0054
28,0.0046
29,0.0033
30,0.0028
31,0.0037
32,0.0035
33,0.0031
34,0.0024
35,0.0028
36,0.0025
37,0.0033
38,0.0016
39,0.0022
40,0.0024
41,0.0013
42,0.0013
43,0.0012
44,0.0012
45,0.0011
46,0.0013
47,0.0013
48,0.0015
49,0.0014
50,0.0019
51,0.0023
52,0.0022
53,0.0027
54,0.0022
55,0.0022
56,0.0024
57,0.0031
58,0.0034
59,0.004
60,0.012
61,0.026
62,0.018
63,0.018
64,0.019
65,0.017
66,0.031
67,0.026
68,0.016
69,0.021
70,0.014
71,0.0081
72,0.0057
73,0.0063
74,0.0091
75,0.0076
76,0.0054
77,0.0052
78,0.0059
79,0.0074
80,0.0044
81,0.0038
82,0.0057
83,0.0049
84,0.0033
85,0.0031
86,0.0044
87,0.0053
88,0.0039
89,0.0023
90,0.0023
91,0.0033
92,0.0033
93,0.002
94,0.0018
95,0.0018
96,0.0019
97,0.0013
98,0.0011
99,0.0014
100,0.0014
101,0.0008
