step,total_force_ry_bohr
1,0.180055
2,0.111248
3,0.086104
4,0.077787
5,0.080405
6,0.09228
7,0.09482
8,0.072271
9,0.047971
10,0.049619
11,0.048144
12,0.045726
13,0.039945
14,0.037054
15,0.037419
16,0.049401
17,0.032158
18,0.02941
19,0.02539
20,0.026265
21,0.029101
22,0.027615
23,0.02815
24,0.022414
25,0.021404
26,0.023955
27,0.01852
28,0.016414
29,0.014739
30,0.013869
31,0.013039
32,0.012083
33,0.011486
34,0.010625
35,0.0097
36,0.008738
37,0.007689
38,0.007558
39,0.008287
40,0.009212
41,0.009715
42,0.009686
43,0.01007
44,0.010795
45,0.011221
46,0.010944
47,0.010784
48,0.010236
49,0.011715
50,0.008986
51,0.007936
52,0.008048
53,0.008097
54,0.007336
55,0.006395
56,0.005744
57,0.005245
58,0.004772
59,0.004738
60,0.004961
61,0.005457
62,0.005438
63,0.004996
64,0.00529
65,0.00551
66,0.006004
67,0.006275
68,0.006478
69,0.006737
70,0.00675
71,0.006773
72,0.006993
73,0.007454
74,0.007544
75,0.007215
76,0.006716
77,0.006595
78,0.006857
79,0.007245
80,0.007537
81,0.007662
82,0.007424
83,0.006776
84,0.006313
85,0.006392
86,0.006527
87,0.006376
88,0.006222
89,0.006398
90,0.006759
91,0.007043
92,0.007379
93,0.007167
94,0.007324
95,0.00678
96,0.006064
97,0.005766
98,0.005664
99,0.005868
100,0.006068
101,0.006299
102,0.006586
103,0.006523
104,0.006235
105,0.00585
106,0.005357
107,0.004652
108,0.004162
