step,energy_ry
1,-10234.25889157
2,-10234.2697857
3,-10234.28237594
4,-10234.28894227
5,-10234.29531569
6,-10234.30314487
7,-10234.30874719
8,-10234.31333946
9,-10234.31862688
10,-10234.32403784
11,-10234.32909325
12,-10234.33202978
13,-10234.33432412
14,-10234.33638636
15,-10234.33887856
16,-10234.34097104
17,-10234.34319253
18,-10234.34537896
19,-10234.3475792
20,-10234.34907761
21,-10234.35058873
22,-10234.35248074
23,-10234.35451713
24,-10234.35659261
25,-10234.35889037
26,-10234.36229033
27,-10234.36442926
28,-10234.3638079
29,-10234.36678474
30,-10234.3694598
31,-10234.37309368
32,-10234.37631709
33,-10234.37924944
34,-10234.38157387
35,-10234.38342819
36,-10234.38525352
37,-10234.38728309
38,-10234.38887849
39,-10234.39038541
40,-10234.39140859
41,-10234.39247534
42,-10234.39327249
43,-10234.39400397
44,-10234.39462755
45,-10234.39521867
46,-10234.39572122
47,-10234.39619985
48,-10234.39665069
49,-10234.39707672
50,-10234.39745697
51,-10234.39782724
52,-10234.39816235
53,-10234.39845124
54,-10234.39866215
55,-10234.39883961
56,-10234.398983
57,-10234.39911137
58,-10234.39920042
59,-10234.39928615
60,-10234.39936395
61,-10234.39942583
62,-10234.39947067
63,-10234.39950747
64,-10234.39954116
65,-10234.39956992
66,-10234.39959446
67,-10234.399619
68,-10234.39964647
69,-10234.39967598
70,-10234.39970678
71,-10234.39974364
72,-10234.39978947
73,-10234.39984146
74,-10234.39988993
75,-10234.39993412
76,-10234.39997971
77,-10234.40002957
78,-10234.40007472
79,-10234.40010865
80,-10234.40013617
81,-10234.40016234
82,-10234.40018687
83,-10234.40020699
84,-10234.40022439
85,-10234.40024103
86,-10234.40025701
87,-10234.40027205
88,-10234.4002873
89,-10234.40030592
90,-10234.40032836
91,-10234.40035434
92,-10234.40038176
93,-10234.40041368
94,-10234.40045137
95,-10234.4004927
96,-10234.40053564
97,-10234.40058256
98,-10234.40063761
99,-10234.40070263
100,-10234.40077236
101,-10234.40084057
102,-10234.40090477
103,-10234.40096133
104,-10234.40103689
105,-10234.40107987
106,-10234.40112264
107,-10234.40116832
108,-10234.40122105
109,-10234.4012762
110,-10234.40131476
111,-10234.40135514
112,-10234.40139472
113,-10234.4014175
114,-10234.40144367
115,-10234.40147602
116,-10234.40149456
117,-10234.40151571
118,-10234.40154237
119,-10234.40157504
120,-10234.40160966
121,-10234.40163079
122,-10234.40165307
123,-10234.40169948
124,-10234.40173745
125,-10234.4017691
126,-10234.4017984
127,-10234.40185071
128,-10234.40190745
129,-10234.40194501
130,-10234.4019884
131,-10234.40203177
132,-10234.40205377
133,-10234.40208276
134,-10234.40210213
135,-10234.40212556
136,-10234.40213795
137,-10234.40215296
138,-10234.40216676
139,-10234.40218082
140,-10234.40219618
141,-10234.40220812
142,-10234.40221801
143,-10234.4022273
144,-10234.4022338
145,-10234.4022464
146,-10234.40225386
