step,total_force_ry_bohr
1,0.128522
2,0.095197
3,0.07125
4,0.068055
5,0.072663
6,0.073484
7,0.064731
8,0.062762
9,0.060596
10,0.060434
11,0.050194
12,0.053813
13,0.045984
14,0.042114
15,0.037809
16,0.039831
17,0.042841
18,0.038889
19,0.03906
20,0.034838
21,0.043388
22,0.036225
23,0.035615
24,0.040116
25,0.045116
26,0.04647
27,0.060954
28,0.10861
29,0.047166
30,0.05231
31,0.052128
32,0.051406
33,0.040817
34,0.047048
35,0.053261
36,0.033684
37,0.027085
38,0.030516
39,0.028178
40,0.023668
41,0.020785
42,0.021308
43,0.019876
44,0.019109
45,0.015996
46,0.016987
47,0.016971
48,0.016189
49,0.015642
50,0.015515
51,0.015326
52,0.013494
53,0.012996
54,0.010808
55,0.012734
56,0.009338
57,0.00773
58,0.007004
59,0.006797
60,0.006195
61,0.005209
62,0.004557
63,0.00423
64,0.003911
65,0.003613
66,0.00364
67,0.003835
68,0.003933
69,0.004021
70,0.004269
71,0.004772
72,0.005222
73,0.005207
74,0.004946
75,0.004911
76,0.00515
77,0.005229
78,0.004768
79,0.004146
80,0.00374
81,0.00348
82,0.003277
83,0.003139
84,0.003075
85,0.003002
86,0.002876
87,0.002848
88,0.003012
89,0.003333
90,0.003636
91,0.003878
92,0.004081
93,0.004275
94,0.00444
95,0.004574
96,0.004829
97,0.005299
98,0.005744
99,0.005996
100,0.006086
101,0.00631
102,0.007092
103,0.007754
104,0.006022
105,0.005274
106,0.004806
107,0.004583
108,0.004619
109,0.004963
110,0.004804
111,0.004248
112,0.004145
113,0.004763
114,0.004307
115,0.003782
116,0.003529
117,0.003361
118,0.003304
119,0.003526
120,0.00425
121,0.004188
122,0.003969
123,0.003648
124,0.004016
125,0.004775
126,0.005436
127,0.004944
128,0.004798
129,0.004703
130,0.004922
131,0.004524
132,0.00494
133,0.004152
134,0.003228
135,0.002632
136,0.00247
137,0.002719
138,0.003103
139,0.002841
140,0.002592
141,0.002333
142,0.002233
143,0.002373
144,0.002219
145,0.002332
146,0.002149
