step,energy_ry
82,49128.53384391
60,3990.73397112
152,-5618.00328294
128,-6181.43330392
138,-6422.69440714
133,-6522.42970558
115,-6569.64243138
116,-6592.43937363
113,-6603.22376068
127,-6607.9237397
117,-6609.81257311
127,-6610.51664105
119,-6610.69252858
119,-6611.09274614
139,-6611.36826613
139,-6611.57415823
154,-6611.71604341
149,-6611.81156283
167,-6611.90074298
169,-6611.99392508
104,-6611.99392503
169,-6612.09822777
158,-6612.20507584
181,-6612.30544197
175,-6612.39846935
184,-6612.48374335
171,-6612.56222386
119,-6612.6351493
190,-6612.70172761
177,-6612.76042629
181,-6612.81161226
183,-6612.85697106
187,-6612.89750181
183,-6612.93299611
180,-6612.9639192
171,-6612.99180995
143,-6613.01854929
172,-6613.04565189
174,-6613.07316798
167,-6613.10030261
109,-6613.1003024
165,-6613.1274547
179,-6613.15425475
178,-6613.181043
129,-6613.20810827
132,-6613.23565635
139,-6613.26383226
139,-6613.29268003
124,-6613.32189528
136,-6613.35060679
136,-6613.37757918
132,-6613.40212873
