step,total_force_ry_bohr
152,4059.37207
128,1207.81996
138,447.833235
133,208.452688
115,98.158036
116,48.220309
113,22.142834
127,9.296295
117,3.737016
127,1.748496
119,1.626736
119,1.143811
139,0.904543
139,0.726806
154,0.644894
149,0.638609
167,0.631397
169,0.602439
104,0.602278
169,0.542858
158,0.476679
181,0.417911
175,0.365201
184,0.318929
171,0.282089
119,0.24861
190,0.215181
177,0.187804
181,0.168924
183,0.153475
187,0.136664
183,0.122262
180,0.113156
171,0.109079
143,0.106969
172,0.104261
174,0.101314
167,0.099157
109,0.098914
165,0.096693
179,0.096153
178,0.095994
129,0.096481
132,0.097419
139,0.098819
139,0.100159
124,0.099723
136,0.096807
136,0.093071
132,0.092966
