step,scf_accuracy_ry
1,17.87735712
2,83.31792976
3,12.27439026
4,104.53868909
5,18.1853757
6,10.10217277
7,2.91436806
8,1.74676925
9,2.08916964
10,1.44437447
11,0.65316095
12,1.37235906
13,1.28308786
14,0.21047696
15,0.39404075
16,2.29752536
17,1.08537479
18,0.06886217
19,0.13149713
20,0.17068899
21,0.03848676
22,0.03460911
23,0.04308976
24,0.0726846
25,0.02586288
26,0.07902912
27,0.0878691
28,0.04337576
29,0.00903858
30,0.00857617
31,0.01450895
32,0.0051251
33,0.00599237
34,0.00661112
35,0.00949931
36,0.01194259
37,0.02746972
38,0.00602605
39,0.00293003
40,0.00243361
41,0.00268078
42,0.00111166
43,0.00111193
44,0.00126412
45,0.00212289
46,0.00181737
47,0.00673941
48,0.00086741
49,0.00120918
50,0.00091051
51,0.00062688
52,0.00041243
53,0.00031782
54,0.00039819
55,0.0005512
56,0.00039581
57,0.00188754
58,0.00018308
59,0.00032155
60,0.00030419
61,0.0001527
62,0.00015082
63,9.81e-05
64,0.00016328
65,0.0001708
66,0.00013267
67,0.00080825
68,5.892e-05
69,8.063e-05
70,9.51e-05
71,4.475e-05
72,5.017e-05
73,3.459e-05
74,5.675e-05
75,5.317e-05
76,4.958e-05
77,0.00041018
78,2.842e-05
79,2.967e-05
80,3.501e-05
81,1.885e-05
82,1.991e-05
83,1.373e-05
84,1.773e-05
85,1.803e-05
86,1.591e-05
87,0.00016904
88,1.561e-05
89,1.159e-05
90,1.248e-05
91,9.76e-06
92,9.17e-06
93,6.15e-06
94,6.96e-06
95,6.87e-06
96,5.17e-06
97,5.931e-05
98,8.06e-06
99,3.75e-06
100,4.1e-06
101,4.75e-06
102,3.84e-06
103,2.9e-06
104,3.1e-06
105,3e-06
106,2.12e-06
107,2.262e-05
108,4.11e-06
109,1.41e-06
110,1.45e-06
111,1.96e-06
112,1.47e-06
113,1.34e-06
114,1.26e-06
115,1.39e-06
116,1.02e-06
117,9.71e-06
118,2.05e-06
119,7.3e-07
