step,conv_thr_ry
60,1e-07
30,8.4e-08
25,5.91e-08
30,3.27e-08
33,3.09e-08
35,3.41e-08
30,3.14e-08
29,2.29e-08
37,1.9e-08
33,1.62e-08
37,1.28e-08
36,1.09e-08
37,1.08e-08
36,1.19e-08
37,1.09e-08
36,8.4e-09
38,7.7e-09
36,7.3e-09
33,5e-09
33,7.8e-09
24,4.8e-09
27,3.8e-09
31,3.7e-09
29,3.3e-09
29,2.9e-09
33,3.1e-09
33,3.3e-09
31,2.8e-09
31,2.4e-09
31,2e-09
31,1.5e-09
34,1e-09
34,1e-09
29,1e-09
29,1e-09
31,1.1e-09
32,1.1e-09
31,1e-09
29,1e-09
32,1.1e-09
26,1e-09
28,1e-09
28,1e-09
28,1e-09
18,1e-09
16,1e-09
19,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
17,1e-09
16,1e-09
18,1e-09
19,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
17,1e-09
16,1e-09
18,1e-09
18,1e-09
16,1e-09
16,1e-09
16,1e-09
16,1e-09
16,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
18,1e-09
17,1e-09
16,1e-09
18,1e-09
18,1e-09
18,1e-09
16,1e-09
17,1e-09
17,1e-09
16,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
17,1e-09
17,1e-09
16,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
17,1e-09
17,1e-09
17,1e-09
18,1e-09
16,1e-09
18,1e-09
18,1e-09
18,1e-09
16,1e-09
18,1e-09
17,1e-09
17,1e-09
17,1e-09
18,1e-09
16,1e-09
18,1e-09
17,1e-09
18,1e-09
16,1e-09
17,1e-09
16,1e-09
18,1e-09
18,1e-09
16,1e-09
18,1e-09
17,1e-09
16,1e-09
18,1e-09
18,1e-09
17,1e-09
18,1e-09
17,1e-09
17,1e-09
17,1e-09
17,1e-09
17,1e-09
17,1e-09
17,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
18,1e-09
18,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
17,1e-09
17,1e-09
18,1e-09
16,1e-09
18,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
16,1e-09
16,1e-09
18,1e-09
18,1e-09
17,1e-09
17,1e-09
18,1e-09
17,1e-09
16,1e-09
18,1e-09
17,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
17,1e-09
17,1e-09
18,1e-09
16,1e-09
17,1e-09
17,1e-09
18,1e-09
18,1e-09
17,1e-09
18,1e-09
18,1e-09
16,1e-09
18,1e-09
18,1e-09
18,1e-09
17,1e-09
17,1e-09
