step,energy_ry
93,-7323.85809541
26,-7323.88020838
29,-7323.90972008
28,-7323.92074675
29,-7323.93127464
28,-7323.94250051
31,-7323.95625407
33,-7323.97058386
31,-7323.9791793
28,-7323.98393167
27,-7323.98732588
28,-7323.98943391
28,-7323.99130667
28,-7323.99241857
28,-7323.99329647
26,-7323.99409843
30,-7323.99513543
28,-7323.99595653
26,-7323.99669128
29,-7323.99746197
28,-7323.99807986
25,-7323.9983423
30,-7323.99879543
28,-7323.99941972
29,-7324.00010058
31,-7324.00061087
30,-7324.0010175
28,-7324.00142714
29,-7324.00180294
29,-7324.00224579
27,-7324.00265089
29,-7324.00296906
30,-7324.00328983
28,-7324.00353039
27,-7324.00377184
31,-7324.00401722
32,-7324.00393052
28,-7324.00414697
30,-7324.00438792
29,-7324.00463258
27,-7324.00488105
26,-7324.00512089
29,-7324.00532599
27,-7324.00551397
28,-7324.00570877
35,-7324.0056648
28,-7324.0058146
28,-7324.00597109
27,-7324.00618805
27,-7324.00637571
28,-7324.00656438
29,-7324.00665896
30,-7324.00675629
