step,scf_accuracy_ry
1,0.00013375
2,0.00011589
3,0.00039849
4,0.00036444
5,4.778e-05
6,1.129e-05
7,7.62e-06
8,4.46e-06
9,7.6e-06
10,2.38e-06
11,9e-07
12,5.6e-07
13,8.7e-07
14,4.3e-07
15,7.2e-07
16,4.7e-07
17,1.6e-07
18,7e-08
1,0.00027575
2,0.00055989
3,0.0003389
4,0.00035469
5,0.00044621
6,4.35e-05
7,1.602e-05
8,1.449e-05
9,1.199e-05
10,3.407e-05
11,5.36e-06
12,1.2e-06
13,2.95e-06
14,1.96e-06
15,1.65e-06
16,8.2e-07
17,7.6e-07
18,6e-08
19,3e-08
20,5e-08
21,2e-08
22,4e-08
23,4e-08
24,3e-08
25,7.4e-09
26,4.9e-09
27,3.3e-09
28,1.9e-09
29,5.3e-10
1,0.00064538
2,0.00050695
3,0.00155514
4,0.00032355
5,0.00010347
6,5.495e-05
7,4.374e-05
8,4.679e-05
9,8.87e-06
10,8.63e-06
11,3.22e-06
12,2.39e-06
13,1.18e-06
14,1.84e-06
15,1.05e-06
16,4.8e-07
17,3.5e-07
18,1.5e-07
19,9e-08
20,1.5e-07
21,4e-08
22,2e-08
23,8.2e-09
24,2e-08
25,1e-08
26,3e-08
27,1e-08
28,6.2e-09
29,8.8e-10
1,0.00028628
2,0.00025293
3,0.00068636
4,0.00144847
5,4.184e-05
6,2.12e-05
7,1.521e-05
8,1.204e-05
9,2.638e-05
10,2.43e-06
11,1.2e-06
12,8.1e-07
13,2.03e-06
14,1.19e-06
15,1.65e-06
16,1.4e-07
17,6e-08
18,4e-08
19,4e-08
20,9e-08
21,1e-08
22,1e-08
23,5.7e-09
24,5.5e-09
25,2e-08
26,3.5e-09
27,1e-08
28,2.1e-09
29,1.2e-09
30,3.7e-10
1,0.00027352
2,0.00025622
3,0.00077183
4,0.0004813
5,4.375e-05
6,1.744e-05
7,7.85e-06
8,6.35e-06
9,5.26e-06
10,7.67e-06
11,1.06e-06
12,3.8e-07
13,7.6e-07
14,1.5e-07
15,7e-08
16,1.2e-07
17,5e-08
18,3e-08
19,2e-08
20,1e-08
21,5.8e-09
22,9.6e-09
23,1e-08
24,2.8e-09
25,1.6e-09
26,1.4e-09
27,1.3e-09
28,9.6e-10
1,0.00069231
2,0.00063583
3,0.00208913
4,0.00153278
5,6.468e-05
6,6e-05
7,3.447e-05
8,2.707e-05
9,2.101e-05
10,2.33e-05
11,3.94e-06
12,2.71e-06
13,5.14e-06
14,1.66e-06
15,3.24e-06
16,1.8e-06
17,5.5e-07
18,8e-08
19,1.3e-07
20,6e-08
21,5e-08
22,4e-08
23,4e-08
24,1.1e-07
25,1e-08
26,2e-08
27,7.3e-09
28,6.8e-09
29,9.5e-09
30,1e-08
31,2.6e-09
32,6.2e-10
1,0.00097823
2,0.00087186
3,0.00352918
4,0.00110268
5,0.00015654
6,0.00014787
7,4.674e-05
8,3.399e-05
9,2.244e-05
10,1.179e-05
11,4.5e-06
12,4.43e-06
13,6.46e-06
14,4.7e-06
15,8.6e-07
16,2e-07
17,2e-07
