step,total_force_ry_bohr
89,0.18281
26,0.155459
29,0.100915
27,0.093466
29,0.077856
30,0.075295
30,0.080208
29,0.081529
32,0.071114
26,0.049727
29,0.045611
27,0.045565
29,0.039226
28,0.029851
32,0.019927
35,0.019495
32,0.017649
33,0.014962
29,0.013905
29,0.013291
27,0.011219
28,0.009382
29,0.009042
31,0.009907
32,0.011795
31,0.012965
31,0.012461
32,0.011415
31,0.011064
30,0.011169
29,0.0115
32,0.0124
33,0.01582
33,0.021095
31,0.018406
31,0.024296
27,0.02163
28,0.029107
34,0.024829
33,0.060158
31,0.023933
26,0.022011
32,0.038757
31,0.02504
29,0.024583
31,0.025028
32,0.026709
23,0.020031
27,0.019094
30,0.014111
29,0.018964
29,0.010918
31,0.016586
24,0.011555
30,0.009844
30,0.01079
33,0.015994
30,0.018361
34,0.029393
30,0.016601
28,0.016086
30,0.012331
33,0.012037
33,0.015304
33,0.01638
33,0.035944
33,0.022638
29,0.016653
29,0.018556
35,0.029296
33,0.03139
33,0.030796
31,0.021816
32,0.030963
29,0.024891
29,0.027885
30,0.024206
28,0.024016
24,0.016348
31,0.033634
32,0.017967
26,0.01289
32,0.013288
31,0.015883
31,0.022946
29,0.022865
31,0.01817
31,0.015521
28,0.024755
29,0.015855
30,0.013913
31,0.015651
32,0.014576
31,0.013181
28,0.012438
29,0.009288
27,0.008756
29,0.00825
30,0.008707
32,0.008038
31,0.006693
27,0.006799
28,0.008758
32,0.011382
30,0.014056
30,0.015824
30,0.016328
36,0.015302
35,0.021692
32,0.019349
32,0.017895
30,0.02183
28,0.015066
36,0.024426
29,0.015899
27,0.010317
29,0.010671
36,0.013242
32,0.013149
32,0.014976
35,0.014965
34,0.025121
35,0.019644
26,0.014847
30,0.012217
29,0.011426
32,0.010575
35,0.008339
29,0.006235
32,0.006298
28,0.007766
31,0.008304
32,0.007545
31,0.006117
31,0.00804
31,0.011061
33,0.0125
31,0.013091
35,0.013567
34,0.013533
33,0.014255
36,0.016182
37,0.021105
37,0.014319
30,0.016144
32,0.016931
34,0.014725
36,0.012864
38,0.009025
33,0.008172
31,0.006899
30,0.008049
31,0.0058
27,0.006475
31,0.006707
28,0.007064
31,0.006763
31,0.007883
36,0.008592
35,0.010131
35,0.011775
34,0.011955
36,0.010468
31,0.010843
36,0.012304
33,0.006941
33,0.007916
34,0.008705
30,0.00893
31,0.006347
31,0.005671
29,0.00461
32,0.004327
33,0.004418
36,0.004665
