step,total_magnetization_bohr_cell
1,16.45
2,16.45
3,16.47
4,16.44
5,16.46
6,16.45
7,16.45
8,16.45
9,16.45
10,16.45
11,16.45
12,16.45
13,16.45
14,16.45
15,16.45
16,16.45
17,16.45
18,16.45
1,16.45
2,16.44
3,16.47
4,16.44
5,16.45
6,16.45
7,16.45
8,16.45
9,16.45
10,16.45
11,16.45
12,16.45
13,16.45
14,16.45
15,16.45
16,16.45
17,16.45
18,16.45
19,16.45
20,16.45
21,16.45
22,16.45
23,16.45
24,16.45
25,16.45
26,16.45
27,16.45
28,16.45
29,16.45
1,16.45
2,16.45
3,16.43
4,16.47
5,16.45
6,16.45
7,16.45
8,16.45
9,16.45
10,16.45
11,16.45
12,16.45
13,16.45
14,16.45
15,16.45
16,16.45
17,16.45
18,16.45
19,16.45
20,16.45
21,16.45
22,16.45
23,16.45
24,16.45
25,16.45
26,16.45
27,16.45
28,16.45
29,16.45
1,16.45
2,16.45
3,16.47
4,16.42
5,16.46
6,16.45
7,16.45
8,16.45
9,16.45
10,16.45
11,16.45
12,16.45
13,16.45
14,16.45
15,16.45
16,16.45
17,16.45
18,16.45
19,16.45
20,16.45
21,16.45
22,16.45
23,16.45
24,16.45
25,16.45
26,16.45
