step,conv_thr_ry
77,1e-07
25,5.49e-08
27,5.08e-08
26,4.32e-08
27,2.16e-08
25,1.42e-08
27,9.1e-09
28,5.1e-09
26,2.3e-09
27,3.4e-09
26,4.1e-09
28,4.4e-09
32,5.8e-09
28,4.7e-09
28,3.2e-09
27,2.1e-09
28,1.8e-09
27,2.1e-09
30,2.3e-09
32,3.3e-09
32,3.7e-09
32,4.3e-09
30,4.6e-09
30,5.4e-09
30,4.6e-09
31,5.3e-09
34,8.4e-09
36,1.3e-08
34,1.84e-08
39,2.25e-08
30,2.41e-08
34,3.83e-08
35,2.7e-08
32,2.23e-08
31,1.36e-08
30,1.32e-08
31,1.63e-08
29,1.78e-08
31,1.01e-08
26,8.4e-09
27,6.2e-09
29,5.3e-09
27,4.4e-09
32,3.5e-09
27,3.1e-09
29,3.1e-09
30,4.1e-09
29,4.7e-09
32,7.4e-09
32,1.13e-08
37,1.66e-08
35,2.09e-08
34,2.06e-08
28,2.32e-08
28,1.91e-08
27,2.88e-08
31,1.04e-08
32,8.4e-09
30,8.4e-09
30,6.6e-09
35,7.2e-09
29,6.9e-09
32,8.5e-09
33,9.7e-09
32,1.32e-08
27,1.1e-08
27,5.8e-09
27,4.8e-09
28,4.9e-09
27,3.4e-09
32,4.3e-09
29,5.8e-09
32,7.8e-09
31,8.9e-09
31,9.2e-09
32,8.2e-09
33,6.2e-09
30,7.4e-09
33,6.3e-09
31,7.7e-09
32,8.7e-09
33,1.14e-08
32,1.14e-08
29,6.6e-09
34,8.8e-09
32,7.1e-09
27,3.2e-09
32,2.4e-09
29,2.4e-09
34,3.6e-09
36,4.3e-09
35,4.9e-09
32,5.4e-09
30,5.7e-09
27,4.2e-09
27,3.3e-09
31,3.4e-09
31,3.9e-09
29,3.2e-09
28,2.5e-09
29,2e-09
37,1.3e-09
30,1.5e-09
25,1e-09
26,1e-09
26,1e-09
28,1e-09
29,1e-09
30,1e-09
30,1e-09
32,1e-09
33,1e-09
32,1.1e-09
35,1.4e-09
35,1.6e-09
39,2.1e-09
36,3.7e-09
37,4.8e-09
33,4.1e-09
33,3.4e-09
32,3.5e-09
31,2e-09
38,3.1e-09
38,3e-09
38,4.4e-09
33,4.8e-09
36,1e-09
38,4.8e-09
32,3.3e-09
32,2.9e-09
32,1.8e-09
31,1.4e-09
29,1e-09
32,1e-09
29,1e-09
30,1e-09
30,1.1e-09
31,1.4e-09
30,1.8e-09
33,2.7e-09
32,4.3e-09
32,3.9e-09
30,2.2e-09
40,1e-09
35,1e-09
30,1.3e-09
29,1.4e-09
32,1.5e-09
36,1.5e-09
37,1.8e-09
35,1.6e-09
33,2.6e-09
40,2.6e-09
43,1.4e-09
37,3.6e-09
35,3.6e-09
29,1e-09
31,1e-09
34,1.5e-09
34,1.5e-09
35,1.2e-09
