step,energy_ry
77,-7290.24344381
25,-7290.25331531
27,-7290.2617523
26,-7290.26831426
27,-7290.27397206
25,-7290.2757857
27,-7290.27683535
28,-7290.27743463
26,-7290.27766202
27,-7290.27799792
26,-7290.27840422
28,-7290.27884892
32,-7290.27942559
28,-7290.27989694
28,-7290.2802199
27,-7290.28043082
28,-7290.28060976
27,-7290.28081526
30,-7290.28104242
32,-7290.28136771
32,-7290.28173945
32,-7290.28216765
30,-7290.28262936
30,-7290.28317079
30,-7290.28363574
31,-7290.28416869
34,-7290.28500449
36,-7290.28630687
34,-7290.28825389
39,-7290.29050353
30,-7290.29290899
34,-7290.29805282
35,-7290.30075012
32,-7290.30882113
31,-7290.31231004
30,-7290.31505623
31,-7290.3180193
29,-7290.32045069
31,-7290.32199525
26,-7290.32283117
27,-7290.32344892
29,-7290.3239791
27,-7290.32442835
32,-7290.32477634
27,-7290.32508166
29,-7290.32539181
30,-7290.32579861
29,-7290.32626385
32,-7290.32700074
32,-7290.32813145
37,-7290.329791
35,-7290.33187935
34,-7290.33394016
28,-7290.33748135
28,-7290.34038091
27,-7290.34489666
31,-7290.34608945
32,-7290.34693061
30,-7290.34819549
30,-7290.34907822
35,-7290.34979925
29,-7290.35049361
32,-7290.35134137
33,-7290.35265525
32,-7290.35416318
27,-7290.35526655
27,-7290.35599843
27,-7290.35647656
28,-7290.35696913
27,-7290.35730655
32,-7290.35773333
29,-7290.35831192
32,-7290.35909151
31,-7290.35997908
31,-7290.36089965
32,-7290.36172312
33,-7290.36234377
30,-7290.36308607
33,-7290.36371948
31,-7290.36448773
32,-7290.36535779
33,-7290.36650025
32,-7290.36637887
29,-7290.36716379
34,-7290.3680444
32,-7290.36904061
27,-7290.36935943
32,-7290.36960044
29,-7290.36984351
34,-7290.37020423
36,-7290.37063752
35,-7290.37113107
32,-7290.37167043
30,-7290.37224397
27,-7290.3726592
27,-7290.37299391
31,-7290.37333831
31,-7290.37372704
29,-7290.37404982
28,-7290.37430389
29,-7290.37450776
37,-7290.37463839
30,-7290.3747884
