step,scf_accuracy_ry
1,149.25622389
2,5286.61250935
3,69.48913181
4,13.93215551
5,38.20985215
6,17.6909898
7,15.84589924
8,3.05524295
9,4.5910406
10,2.79695734
11,2.68023511
12,2.2879982
13,0.92913401
14,0.31127503
15,0.2645343
16,0.09294303
17,0.13833833
18,0.04044464
19,0.05038386
20,0.01504166
21,0.01189863
22,0.01042475
23,0.01358258
24,0.00643166
25,0.00455011
26,0.0052456
27,0.0032874
28,0.00296665
29,0.00177932
30,0.00174778
31,0.001134
32,0.00071287
33,0.00101775
34,0.00177115
35,0.00191899
36,0.00043447
37,0.00091697
38,0.00023609
39,0.00019641
40,0.00012591
41,0.00024197
42,0.00013547
43,9.92e-05
44,8.096e-05
45,5.25e-05
46,2.713e-05
47,4.419e-05
48,1.495e-05
49,2.158e-05
50,1.074e-05
51,1.567e-05
52,6.06e-06
53,4.25e-06
54,7.43e-06
55,8.05e-06
56,3.17e-06
57,3.88e-06
58,2.54e-06
59,2.64e-06
60,9.8e-07
61,1.32e-06
62,1.07e-06
63,7.6e-07
64,9.6e-07
65,1.24e-06
66,1.02e-06
67,5.8e-07
68,4.7e-07
69,4.6e-07
70,2.3e-07
71,2.6e-07
72,2.7e-07
73,1.5e-07
74,3e-07
75,2.4e-07
76,1.9e-07
77,9e-08
1,0.00794066
2,0.06870192
3,0.01099715
4,0.00647646
5,0.00149254
6,0.00160646
7,0.00039551
8,0.00049687
9,0.00025255
10,8.576e-05
11,3.274e-05
12,2.796e-05
13,9.24e-05
14,1.734e-05
15,2.262e-05
16,5.01e-06
17,5.74e-06
18,3.72e-06
19,1.33e-06
20,1.66e-06
21,1.06e-06
22,3.3e-07
23,5.3e-07
24,5.6e-07
25,8e-08
1,0.00153561
2,0.00125804
3,0.00183602
4,0.00175921
5,0.00209136
6,0.00114989
7,0.00014152
8,9.983e-05
9,5.56e-05
10,5.893e-05
11,2.414e-05
12,7.39e-06
13,1.015e-05
14,9.85e-06
15,2.119e-05
16,6.01e-06
17,2.21e-06
18,1.69e-06
19,1.35e-06
20,3.7e-07
21,2.2e-07
22,1.7e-07
23,2.4e-07
24,1.6e-07
25,2.2e-07
26,7e-08
27,5e-08
1,0.00120641
2,0.00698277
3,0.00119034
4,0.00203718
5,0.00022068
6,0.00018418
7,0.00011098
8,0.00012075
9,5.208e-05
10,4.986e-05
11,8.85e-06
12,1.3e-05
13,3.812e-05
14,4.81e-06
15,3.14e-06
16,1.5e-06
17,2.39e-06
18,8.7e-07
19,5.5e-07
20,5.6e-07
21,1.6e-07
22,8e-08
23,3e-07
24,1.1e-07
25,9e-08
26,4e-08
1,0.00163566
2,0.0045933
3,0.0023146
4,0.00312884
5,0.000556
6,0.00050123
7,0.00013053
8,0.0001059
9,0.00010158
10,3.493e-05
11,1.618e-05
12,1.346e-05
13,7.975e-05
14,1.907e-05
15,4.72e-06
16,6.69e-06
17,1.39e-06
18,1.22e-06
19,8.4e-07
20,7.2e-07
21,1.01e-06
22,1.7e-07
23,1.3e-07
24,4.4e-07
25,1.1e-07
26,2e-07
27,2e-08
1,0.00059938
2,0.00061786
3,0.00228033
4,0.0007684
5,0.00024145
6,0.00014558
7,5.258e-05
8,6.833e-05
9,2.232e-05
10,2.583e-05
11,7.45e-06
12,3.15e-06
13,1.12e-05
14,2.81e-06
15,3.23e-06
16,7.9e-07
17,6.5e-07
18,4.4e-07
19,2.9e-07
20,2.2e-07
21,1.6e-07
22,5e-08
23,7e-08
24,2.1e-07
25,2e-08
1,0.00028634
2,0.00025424
3,0.00067338
4,0.0006506
5,0.00015179
6,9.798e-05
7,2.505e-05
8,2.573e-05
9,1.908e-05
10,1.414e-05
11,2.99e-06
12,1.86e-06
13,3.05e-06
14,3.37e-06
15,2.8e-06
16,5.9e-07
17,8.3e-07
18,3.2e-07
19,2e-07
20,1.2e-07
21,6e-08
22,7e-08
23,3e-08
24,2e-08
25,5e-08
26,2e-08
27,3.6e-09
1,0.00032236
2,0.00042106
3,0.00066599
4,0.00063382
5,0.00010362
6,7.959e-05
7,2.622e-05
8,2.186e-05
9,2.701e-05
10,1.932e-05
11,2.28e-06
12,2.25e-06
13,3.34e-06
14,1.31e-06
15,3.1e-06
16,9.8e-07
17,1.58e-06
18,1.2e-07
19,1.5e-07
20,8e-08
21,8e-08
22,1.2e-07
23,1.7e-07
24,4e-08
25,2e-08
26,1e-08
27,1e-08
28,8.8e-09
1,6.986e-05
2,0.00020605
3,9.159e-05
4,0.00014716
5,2.385e-05
6,1.183e-05
7,7.51e-06
8,4.73e-06
9,5.9e-06
10,1.86e-06
11,7.9e-07
12,7.2e-07
13,2.2e-06
14,1.42e-06
15,1.8e-07
16,3.3e-07
17,1.1e-07
18,4e-08
19,3e-08
20,3e-08
21,2e-08
22,1e-08
23,2e-08
24,5e-08
25,7.4e-09
26,4.5e-09
1,0.00020244
2,0.00023966
3,0.00035218
4,0.00070086
5,7.193e-05
6,6.44e-05
7,1.428e-05
8,1.7e-05
9,1.36e-05
10,4.78e-06
11,1.91e-06
12,1.66e-06
13,4.61e-06
14,1.55e-06
15,5.9e-07
16,3.2e-07
17,3.8e-07
18,1.2e-07
19,9e-08
20,4e-08
21,2e-08
22,3e-08
23,1e-08
24,3e-08
25,1e-08
26,7.7e-09
27,2.1e-09
