step,total_force_ry_bohr
77,0.129187
25,0.084506
27,0.072926
26,0.060338
27,0.046841
25,0.033737
27,0.020702
28,0.01664
26,0.013711
27,0.015567
26,0.019756
28,0.019155
32,0.017283
28,0.015444
28,0.012781
27,0.010536
28,0.010272
27,0.011946
30,0.013423
32,0.014634
32,0.015641
32,0.016569
30,0.016932
30,0.017174
30,0.018021
31,0.020725
34,0.026571
36,0.036275
34,0.052065
39,0.078798
30,0.0899
34,0.089795
35,0.091869
32,0.059089
31,0.041829
30,0.034496
31,0.035675
29,0.033976
31,0.022692
26,0.018694
27,0.017712
29,0.016079
27,0.013142
32,0.011653
27,0.013004
29,0.014662
30,0.016254
29,0.018637
32,0.0234
32,0.031525
37,0.044654
35,0.064531
