step,energy_ry
94,-7290.30982117
28,-7290.33349256
27,-7290.34861428
26,-7290.35518346
27,-7290.35911041
26,-7290.36386233
28,-7290.36825109
26,-7290.37273408
31,-7290.37757121
31,-7290.38215394
30,-7290.38518339
29,-7290.38717904
27,-7290.38889751
28,-7290.3907013
25,-7290.39161188
27,-7290.39239551
25,-7290.3932739
27,-7290.39410609
30,-7290.39502967
29,-7290.39570251
30,-7290.39651948
32,-7290.39755172
28,-7290.39845694
32,-7290.39941092
29,-7290.40024258
29,-7290.40101342
29,-7290.4015414
33,-7290.40201302
32,-7290.40232351
29,-7290.40255856
31,-7290.40271854
27,-7290.40281075
30,-7290.40289709
31,-7290.40298485
29,-7290.40307743
29,-7290.4031665
