step,scf_accuracy_ry
1,154.84148064
2,5362.29759746
3,72.4308088
4,12.79400309
5,49.45925378
6,27.51964811
7,15.80531175
8,8.0192296
9,2.30984597
10,2.07966842
11,2.94829123
12,0.84065733
13,0.33382351
14,0.23611526
15,0.1558037
16,0.06754553
17,0.06164748
18,0.03833901
19,0.02445884
20,0.0212509
21,0.01333739
22,0.01707609
23,0.00445062
24,0.00436575
25,0.00286997
26,0.00097949
27,0.00088637
28,0.0016927
29,0.00098282
30,0.00144179
31,0.00071325
32,0.00073116
33,0.00045266
34,0.00057231
35,0.00030772
36,0.00025177
37,0.00021659
38,0.00038632
39,0.00026996
40,0.00035645
41,0.00014293
42,0.00012916
43,0.00010545
44,0.0001138
45,8.602e-05
46,7.407e-05
47,5.931e-05
48,7.234e-05
49,8.522e-05
50,8.231e-05
51,2.803e-05
52,2.516e-05
53,2.208e-05
54,1.815e-05
55,1.49e-05
56,1.321e-05
57,9.67e-06
58,9.1e-06
59,1.346e-05
60,1.202e-05
61,8.53e-06
62,6.12e-06
63,6.08e-06
64,4.93e-06
65,5.39e-06
66,4.57e-06
67,3.08e-06
68,2.63e-06
69,4.76e-06
70,5.68e-06
71,4.9e-06
72,2.36e-06
73,2.41e-06
74,1.57e-06
75,1.95e-06
76,1.5e-06
77,1.38e-06
78,9.3e-07
79,1.77e-06
