step,conv_thr_ry
83,1e-07
42,7.88e-08
51,1e-07
38,1.54e-08
40,3.67e-08
34,4.7e-08
41,2.8e-08
38,9.9e-09
38,1.11e-08
48,1.99e-08
46,1.33e-08
46,7.8e-09
41,1.12e-08
40,1.6e-08
41,7.9e-09
40,5.4e-09
48,8.4e-09
38,8.1e-09
47,5.7e-09
38,4.8e-09
47,6.6e-09
39,6.8e-09
41,5.1e-09
42,5.1e-09
39,5.4e-09
38,5.3e-09
39,6e-09
47,6.5e-09
39,5.2e-09
39,6.2e-09
41,4.5e-09
45,5.8e-09
39,5.4e-09
41,3.8e-09
49,6.4e-09
41,3.6e-09
48,4.1e-09
40,3.2e-09
38,2.3e-09
47,2.7e-09
40,1.7e-09
38,1.1e-09
48,1e-09
40,1.2e-09
31,1e-09
39,1.1e-09
37,1.1e-09
39,1.1e-09
36,1e-09
37,1e-09
41,1e-09
35,1e-09
31,1e-09
32,1e-09
32,1e-09
40,1e-09
47,1e-09
35,1e-09
43,1e-09
35,1e-09
40,1e-09
38,1e-09
38,1e-09
42,1e-09
48,1e-09
37,1e-09
38,1e-09
39,1e-09
39,1.1e-09
36,1e-09
41,1.3e-09
39,1.3e-09
40,1.1e-09
49,1e-09
39,1e-09
38,1e-09
39,1e-09
39,1e-09
38,1e-09
39,1e-09
48,1e-09
51,1e-09
51,1.2e-09
51,1.8e-09
49,2.1e-09
48,3.3e-09
50,4.6e-09
48,2.9e-09
46,4.3e-09
57,9.2e-09
39,7e-09
40,5e-09
42,4.4e-09
40,5.2e-09
36,3.4e-09
49,4.4e-09
41,3e-09
37,2.3e-09
38,2.3e-09
38,2.4e-09
49,2.1e-09
39,2.1e-09
48,1.9e-09
39,2e-09
41,2.1e-09
48,2.4e-09
49,3.3e-09
51,4.1e-09
50,4.9e-09
43,6e-09
51,7.1e-09
56,9.4e-09
41,4.9e-09
41,5.9e-09
40,6e-09
50,4.3e-09
40,3.8e-09
38,3.3e-09
40,3.1e-09
38,2e-09
41,1.9e-09
38,2e-09
40,2.4e-09
38,3.1e-09
48,3.4e-09
48,3.6e-09
42,3.7e-09
41,3.7e-09
40,3.6e-09
41,2.8e-09
37,2.6e-09
39,2.4e-09
51,2.8e-09
50,2.6e-09
40,2.6e-09
40,2.2e-09
37,2e-09
48,2e-09
41,2.2e-09
39,2.3e-09
42,2.4e-09
47,2.1e-09
39,1.6e-09
38,1.5e-09
39,1.4e-09
34,1.1e-09
36,1.1e-09
40,1.2e-09
42,1.2e-09
40,1e-09
