step,energy_ry
83,-8218.44625591
42,-8218.54551156
51,-8218.59897621
38,-8218.61242461
40,-8218.61680899
34,-8218.62307856
41,-8218.62829949
38,-8218.6309994
38,-8218.6325722
48,-8218.63516752
46,-8218.6370084
46,-8218.63845568
41,-8218.64016525
40,-8218.64217975
41,-8218.64379635
40,-8218.64497829
48,-8218.64599849
38,-8218.64680939
47,-8218.64744841
38,-8218.64808642
47,-8218.64882818
39,-8218.64956482
41,-8218.65053302
42,-8218.651513
39,-8218.652106
38,-8218.65290254
39,-8218.65394814
47,-8218.65471357
39,-8218.65545231
39,-8218.65623268
41,-8218.65695201
45,-8218.65753334
39,-8218.65807834
41,-8218.65859728
49,-8218.65923832
41,-8218.65959871
48,-8218.66000607
40,-8218.66032335
38,-8218.66059249
47,-8218.66086775
40,-8218.6610406
38,-8218.66114935
48,-8218.66125025
40,-8218.66136936
31,-8218.66147258
39,-8218.6615846
37,-8218.66169546
39,-8218.66180437
36,-8218.66188483
37,-8218.66198936
41,-8218.66208424
35,-8218.66214707
31,-8218.66219287
32,-8218.66223919
32,-8218.66228575
40,-8218.66233443
47,-8218.66238366
35,-8218.66244057
43,-8218.66250248
35,-8218.66256341
40,-8218.66261382
38,-8218.66266478
38,-8218.66271985
42,-8218.66278167
48,-8218.66284719
37,-8218.66291555
38,-8218.66298705
39,-8218.66306732
39,-8218.66318101
36,-8218.6632836
41,-8218.66341532
39,-8218.66354956
40,-8218.66365799
49,-8218.66375323
39,-8218.66382746
38,-8218.66390165
39,-8218.66396566
39,-8218.66402086
38,-8218.66406839
39,-8218.66411646
48,-8218.66418064
51,-8218.66427825
51,-8218.66439379
51,-8218.66457437
49,-8218.66478728
48,-8218.66511578
50,-8218.66557903
48,-8218.66587297
46,-8218.66630078
57,-8218.66722062
39,-8218.66818008
40,-8218.66879637
42,-8218.66948976
40,-8218.67001328
36,-8218.67035119
49,-8218.67088188
41,-8218.67118166
37,-8218.6714152
38,-8218.67164503
38,-8218.67188416
49,-8218.67209908
39,-8218.67230499
48,-8218.67249393
39,-8218.6726964
41,-8218.67290275
48,-8218.67314351
49,-8218.67347563
51,-8218.67391552
50,-8218.67445722
43,-8218.67506031
51,-8218.67586621
56,-8218.67684885
41,-8218.67734069
41,-8218.67824501
40,-8218.67884515
50,-8218.67936723
40,-8218.67974828
38,-8218.68007669
40,-8218.68038252
38,-8218.68058599
41,-8218.68077987
38,-8218.68097905
40,-8218.68122129
38,-8218.68152846
48,-8218.68192814
48,-8218.68233712
