step,total_force_ry_bohr
83,0.290387
33,0.439388
30,0.143645
27,0.095166
29,0.064283
28,0.049793
30,0.050611
28,0.054234
24,0.056261
28,0.05585
33,0.058758
28,0.052228
30,0.052102
29,0.045652
31,0.0401
27,0.04566
31,0.076004
25,0.064707
27,0.058971
29,0.062603
30,0.049286
31,0.09921
30,0.037228
28,0.027403
29,0.025946
28,0.027524
29,0.02925
31,0.029295
28,0.031058
27,0.027
29,0.028933
28,0.026475
29,0.027124
30,0.030974
29,0.036631
32,0.044557
34,0.054143
32,0.063579
27,0.053492
29,0.038093
33,0.048869
28,0.028696
27,0.023228
28,0.024725
30,0.018775
30,0.045729
31,0.021758
28,0.011878
31,0.013801
29,0.024665
30,0.014336
28,0.014636
29,0.010465
29,0.016595
32,0.010293
27,0.008831
28,0.007468
26,0.006965
25,0.005605
27,0.004735
28,0.005155
28,0.006498
30,0.007236
26,0.005137
25,0.004524
26,0.004563
29,0.005039
31,0.005695
36,0.006416
34,0.007058
31,0.007155
32,0.00644
30,0.008807
35,0.008022
30,0.005686
27,0.00446
28,0.003825
35,0.004338
30,0.004844
34,0.005409
33,0.006546
31,0.008567
33,0.011944
36,0.013797
34,0.017146
32,0.015569
32,0.018311
35,0.010277
31,0.008646
34,0.005648
