step,conv_thr_ry
82,1e-07
41,4.71e-08
52,3.22e-08
35,2.63e-08
30,2.09e-08
39,2.25e-08
40,1.65e-08
40,1.17e-08
40,1.55e-08
39,1.55e-08
39,1.24e-08
41,1e-08
40,1.32e-08
39,1.51e-08
45,1.58e-08
36,1.29e-08
36,1.73e-08
41,8.8e-09
35,8e-09
40,1.05e-08
38,7.1e-09
37,6.4e-09
39,7e-09
41,6.5e-09
38,6e-09
40,5.4e-09
41,6.1e-09
39,7.9e-09
41,8.7e-09
42,9.6e-09
38,1e-08
46,9e-09
47,1.13e-08
49,1.25e-08
45,1.02e-08
42,7e-09
41,8e-09
47,4.8e-09
48,5.7e-09
46,4.8e-09
36,3.9e-09
46,4.3e-09
46,4.3e-09
47,6.3e-09
47,6.7e-09
45,6.6e-09
45,6.5e-09
47,7.7e-09
45,7.5e-09
44,6.4e-09
41,6.4e-09
42,7.5e-09
42,8.1e-09
40,7.9e-09
36,7.5e-09
36,4.2e-09
45,4.5e-09
44,3.7e-09
45,2.9e-09
45,2.5e-09
42,2.2e-09
37,2.1e-09
41,2.2e-09
31,1e-09
38,1.5e-09
