step,energy_ry
82,-6614.50217404
41,-6614.5228926
52,-6614.53754978
35,-6614.54043547
30,-6614.54350626
39,-6614.54787305
40,-6614.55250034
40,-6614.55565557
40,-6614.55828356
39,-6614.56080122
39,-6614.56341677
41,-6614.56645527
40,-6614.56896937
39,-6614.57156278
45,-6614.57403229
36,-6614.57635414
36,-6614.57817501
41,-6614.57905033
35,-6614.58056906
40,-6614.58209789
38,-6614.5830517
37,-6614.58411345
39,-6614.58516453
41,-6614.58626367
38,-6614.58711498
40,-6614.58793226
41,-6614.58878964
39,-6614.58967245
41,-6614.59053901
42,-6614.59149448
38,-6614.59261382
46,-6614.59415675
47,-6614.5957459
49,-6614.59734243
45,-6614.59899555
42,-6614.6004448
41,-6614.60132041
47,-6614.60179788
48,-6614.60236431
