step,total_force_ry_bohr
83,0.139003
35,0.096889
46,0.079531
47,0.069403
39,0.05284
40,0.059691
42,0.063232
46,0.063811
42,0.067559
46,0.056873
46,0.049342
40,0.045995
41,0.039735
39,0.041628
36,0.041678
41,0.054998
41,0.043615
41,0.043793
39,0.031269
39,0.035017
37,0.031137
30,0.021331
36,0.022942
33,0.026534
36,0.026173
36,0.023799
37,0.021557
36,0.020764
38,0.027066
41,0.022546
31,0.025242
36,0.029365
39,0.031154
39,0.032879
42,0.036513
46,0.03314
47,0.02548
43,0.019333
49,0.047638
41,0.023843
31,0.015766
30,0.012658
37,0.01255
45,0.016324
41,0.017788
41,0.018746
46,0.020552
49,0.023846
49,0.028535
52,0.031181
45,0.02939
49,0.02542
49,0.030613
41,0.027539
42,0.022911
39,0.019635
41,0.018097
36,0.016928
37,0.015417
40,0.012884
41,0.012698
45,0.011941
42,0.012566
37,0.01662
40,0.014253
41,0.014795
37,0.010368
39,0.009167
37,0.008751
35,0.007359
39,0.00858
37,0.008963
40,0.009434
37,0.010019
40,0.007975
38,0.006815
38,0.00532
35,0.004758
31,0.004484
33,0.004281
35,0.004275
36,0.003906
35,0.004205
37,0.005237
40,0.006226
39,0.007138
41,0.005715
41,0.004513
38,0.003923
36,0.003995
35,0.005529
