step,total_magnetization_bohr_cell
1,88.46
2,93.88
3,87.94
4,89.75
5,69.73
6,64.65
7,58.77
8,54.12
9,46.57
10,41.87
11,41.39
12,41.44
13,42.15
14,41.91
15,40.85
16,40.34
17,40.85
18,40.61
19,40.42
20,40.03
21,40.14
22,40.0
23,39.8
24,39.71
25,39.67
26,39.66
27,39.67
28,39.65
29,39.65
30,39.65
31,39.67
32,39.66
33,39.66
34,39.68
35,39.68
36,39.68
37,39.69
38,39.7
39,39.71
40,39.72
41,39.73
42,39.73
43,39.74
44,39.75
45,39.75
46,39.75
47,39.76
48,39.76
49,39.76
50,39.76
51,39.77
52,39.77
53,39.76
54,39.76
55,39.76
56,39.76
57,39.76
58,39.76
59,39.76
60,39.75
61,39.75
62,39.75
63,39.75
64,39.75
65,39.75
66,39.75
67,39.74
68,39.74
69,39.74
70,39.74
71,39.74
72,39.74
73,39.74
74,39.74
75,39.73
76,39.73
77,39.73
78,39.73
79,39.73
80,39.73
81,39.73
82,39.73
83,39.73
1,39.78
2,39.72
3,39.75
4,39.77
5,39.76
6,39.74
7,39.75
8,39.74
9,39.76
10,39.75
11,39.76
12,39.76
13,39.76
14,39.76
15,39.75
16,39.76
17,39.76
18,39.75
19,39.76
20,39.76
21,39.76
22,39.76
23,39.76
24,39.76
25,39.76
26,39.76
27,39.76
28,39.76
