step,energy_ry
78,-6614.4465186
32,-6614.46138974
47,-6614.47825486
45,-6614.48425409
39,-6614.48903177
36,-6614.4953704
38,-6614.50147734
37,-6614.50881337
45,-6614.51602085
40,-6614.52111996
46,-6614.5271113
43,-6614.53265763
40,-6614.5358369
41,-6614.53838774
37,-6614.54017464
40,-6614.5415788
42,-6614.54270896
39,-6614.54360954
41,-6614.5444667
38,-6614.54521543
36,-6614.54564977
37,-6614.54585824
32,-6614.54604456
41,-6614.54634499
45,-6614.54680188
38,-6614.54722043
38,-6614.54764507
39,-6614.54806597
37,-6614.54853701
35,-6614.54904855
36,-6614.54930199
42,-6614.54981826
37,-6614.5501941
35,-6614.55065111
34,-6614.55128095
38,-6614.55210417
40,-6614.55285126
38,-6614.55340802
43,-6614.55439785
35,-6614.55548416
33,-6614.55616891
34,-6614.55663443
37,-6614.5572356
33,-6614.55786608
38,-6614.5586346
38,-6614.55924974
42,-6614.56003049
37,-6614.56028713
37,-6614.56076449
29,-6614.56089689
35,-6614.56104117
35,-6614.56119598
36,-6614.561358
35,-6614.56148196
43,-6614.5616231
35,-6614.56174082
35,-6614.56185523
35,-6614.56196108
38,-6614.56208501
38,-6614.5622309
39,-6614.56245208
41,-6614.56276793
41,-6614.56320649
45,-6614.56381292
42,-6614.56458118
41,-6614.56524119
48,-6614.56584665
39,-6614.56663621
41,-6614.56687557
45,-6614.56707244
41,-6614.56729842
38,-6614.56748938
38,-6614.5676129
41,-6614.56778184
48,-6614.56799912
43,-6614.56822362
51,-6614.56849706
49,-6614.56870541
38,-6614.56903744
30,-6614.56921837
42,-6614.56940137
48,-6614.56960539
48,-6614.56987226
48,-6614.57034788
45,-6614.57099422
47,-6614.57150122
56,-6614.5713974
46,-6614.57193179
31,-6614.57226742
42,-6614.57270731
38,-6614.57303933
35,-6614.5734942
46,-6614.57417297
47,-6614.57471348
41,-6614.57544141
47,-6614.57667839
42,-6614.57822445
41,-6614.57858352
52,-6614.58009801
36,-6614.58094295
39,-6614.58143503
36,-6614.58170315
41,-6614.58204124
38,-6614.58234001
45,-6614.58259206
38,-6614.58275477
40,-6614.58288479
40,-6614.58299204
46,-6614.5830995
41,-6614.58316515
37,-6614.58322229
36,-6614.58329085
36,-6614.58335971
38,-6614.58345802
41,-6614.58358164
44,-6614.58374007
47,-6614.58396707
49,-6614.58431527
50,-6614.58484875
57,-6614.58561011
58,-6614.58707359
49,-6614.58986207
58,-6614.59015198
59,-6614.58315594
56,-6614.59241272
38,-6614.59378682
32,-6614.59516087
46,-6614.59687394
48,-6614.59816544
49,-6614.59924057
45,-6614.60011086
46,-6614.60056756
41,-6614.60116223
