step,scf_accuracy_ry
1,30.88833582
2,139.48477486
3,148.86788744
4,40.73822258
5,17.91575202
6,12.80562648
7,12.42146118
8,4.37506472
9,4.2362616
10,2.60005633
11,2.12893591
12,0.63599061
13,0.39729002
14,0.31828886
15,0.14797947
16,0.27009
17,0.16505748
18,0.04397346
19,0.0272404
20,0.02908963
21,0.01829619
22,0.02242597
23,0.01175163
24,0.0194418
25,0.00550377
26,0.00522098
27,0.0082976
28,0.00298501
29,0.00158793
30,0.0016193
31,0.00113646
32,0.00146499
33,0.00083866
34,0.00191811
35,0.00090943
36,0.00034543
37,0.00047292
38,0.00041359
39,0.00016037
40,0.000192
41,0.00014495
42,0.0001652
43,0.00010807
44,0.00020645
45,0.00016495
46,5.451e-05
47,6.93e-05
48,7.733e-05
49,3.04e-05
50,3.186e-05
51,2.127e-05
52,2.248e-05
53,1.783e-05
54,2.738e-05
55,3.127e-05
56,9.05e-06
57,1.184e-05
58,1.687e-05
59,6.34e-06
60,5.1e-06
61,3.28e-06
62,2.96e-06
63,3e-06
64,4.7e-06
65,8.52e-06
66,1.53e-06
67,1.72e-06
68,2.47e-06
69,1e-06
70,6.5e-07
71,4.9e-07
72,4.6e-07
73,5.4e-07
74,8.9e-07
75,1.93e-06
76,2.6e-07
77,2.3e-07
78,3.9e-07
79,2.1e-07
80,1.4e-07
81,1.2e-07
82,1.1e-07
83,1.1e-07
84,1.5e-07
85,3.4e-07
86,7e-08
1,0.14642651
2,6.50973532
3,1.40197305
4,0.06291571
5,0.01463495
6,0.01094424
7,0.01209364
8,0.00620628
9,0.00357087
10,0.00593485
11,0.00160543
12,0.00099189
13,0.01649294
14,0.00125989
15,0.00038979
16,0.00054687
17,0.00010196
18,6.326e-05
19,0.00015362
20,5.381e-05
21,3.989e-05
22,4.656e-05
23,0.00012256
24,3.12e-05
