step,conv_thr_ry
81,1e-07
36,4.36e-08
35,4.2e-08
40,3.74e-08
46,3.11e-08
46,1.44e-08
39,1.13e-08
45,4.3e-09
39,3.7e-09
34,3.5e-09
38,3.9e-09
37,5.3e-09
37,5.7e-09
40,5.9e-09
50,6.6e-09
48,5.8e-09
46,4.4e-09
42,3.3e-09
37,2.8e-09
30,3.2e-09
35,3.2e-09
36,3.4e-09
38,3.3e-09
41,2.9e-09
45,2.6e-09
37,2.1e-09
35,1.7e-09
37,1.4e-09
32,1.1e-09
37,1.2e-09
40,1.5e-09
39,1.4e-09
36,1e-09
38,1e-09
36,1e-09
40,1.1e-09
38,1.3e-09
37,1.2e-09
41,1e-09
40,1e-09
41,1.2e-09
42,1.5e-09
41,1.5e-09
39,1e-09
39,1e-09
40,1.1e-09
37,1.1e-09
36,1.5e-09
42,2.4e-09
46,3.6e-09
49,5.1e-09
51,7.9e-09
51,7.8e-09
41,6e-09
48,1.02e-08
49,1.51e-08
56,1.98e-08
52,1.98e-08
47,1.35e-08
46,1.23e-08
41,6.3e-09
40,6e-09
47,5.6e-09
47,3.8e-09
40,2.9e-09
37,2.4e-09
42,2.8e-09
46,3.3e-09
45,3.8e-09
42,4.4e-09
49,4.5e-09
56,4.7e-09
46,4.2e-09
41,4.3e-09
40,2.8e-09
39,2.4e-09
41,2e-09
36,1.5e-09
41,1.7e-09
41,2e-09
39,1.8e-09
40,2.1e-09
46,2.4e-09
49,2.9e-09
49,3.6e-09
50,4.2e-09
56,4.7e-09
57,6.8e-09
49,5.7e-09
56,1.01e-08
48,9.2e-09
49,1.27e-08
49,5.3e-09
51,6.7e-09
