step,energy_ry
81,-6580.85384018
36,-6580.86681694
35,-6580.87704407
40,-6580.88912333
46,-6580.90346004
46,-6580.91690127
39,-6580.91976306
45,-6580.92268494
39,-6580.92321042
34,-6580.92356
38,-6580.9239543
37,-6580.92456043
37,-6580.92543511
40,-6580.92662321
50,-6580.92807667
48,-6580.92956134
46,-6580.93039399
42,-6580.93118325
37,-6580.93164014
30,-6580.93197215
35,-6580.93236282
36,-6580.93285361
38,-6580.9333652
41,-6580.9338837
45,-6580.93429555
37,-6580.93450659
35,-6580.93480382
37,-6580.93501726
32,-6580.93512329
37,-6580.93524284
40,-6580.93540071
39,-6580.93554403
36,-6580.9356392
38,-6580.93573889
36,-6580.93582305
40,-6580.93593515
38,-6580.93606239
37,-6580.9361855
41,-6580.93628689
40,-6580.93639003
41,-6580.93650815
42,-6580.93667799
41,-6580.93682838
39,-6580.93692669
39,-6580.9370237
40,-6580.93712889
37,-6580.9372413
36,-6580.93739432
42,-6580.93763458
46,-6580.93799637
49,-6580.93855522
51,-6580.93934376
51,-6580.94012059
41,-6580.9407173
48,-6580.94174045
49,-6580.94416755
56,-6580.94812228
52,-6580.94603126
47,-6580.94947509
46,-6580.95524183
41,-6580.9591937
40,-6580.96044183
47,-6580.96200403
47,-6580.96334274
40,-6580.96384569
37,-6580.96422222
42,-6580.96462501
46,-6580.96508924
45,-6580.96561742
42,-6580.966429
49,-6580.96749013
56,-6580.96862929
46,-6580.96933208
41,-6580.97023822
40,-6580.97068041
39,-6580.9710471
41,-6580.97128145
36,-6580.97146669
41,-6580.9716352
41,-6580.97183962
39,-6580.97213459
40,-6580.97242754
46,-6580.97280428
49,-6580.97325589
49,-6580.97378748
50,-6580.97447779
56,-6580.97560883
57,-6580.97725598
49,-6580.97901507
56,-6580.98145559
48,-6580.98372937
49,-6580.98548958
49,-6580.98821744
51,-6580.98986639
56,-6580.99137588
47,-6580.99268068
49,-6580.99413149
47,-6580.99544465
46,-6580.99663442
52,-6580.99776867
45,-6580.99852913
38,-6580.99897714
41,-6580.99921042
36,-6580.99931627
36,-6580.99944829
41,-6580.99960886
