step,total_force_ry_bohr
81,0.128302
36,0.103534
35,0.094296
40,0.089562
46,0.086952
46,0.076293
39,0.055279
45,0.023339
39,0.016705
34,0.018042
38,0.019637
37,0.022114
37,0.024684
40,0.027292
50,0.029997
48,0.029991
46,0.025567
42,0.016941
37,0.015423
30,0.016391
35,0.016796
36,0.016373
38,0.015205
41,0.013778
45,0.01333
37,0.012087
35,0.009797
37,0.008743
32,0.00838
37,0.008167
40,0.00822
39,0.008138
36,0.007273
38,0.006729
36,0.007226
40,0.008125
38,0.008299
37,0.007628
41,0.007239
40,0.007784
41,0.008453
42,0.008586
41,0.007936
39,0.007078
39,0.007018
40,0.00842
37,0.009728
36,0.011817
42,0.014507
46,0.019162
49,0.027522
51,0.043995
51,0.071286
41,0.066773
48,0.076132
49,0.085881
56,0.093718
52,0.09525
47,0.087459
46,0.059342
41,0.0294
40,0.028721
47,0.028006
47,0.019645
40,0.014547
37,0.013854
42,0.016036
46,0.01854
45,0.019034
42,0.020205
49,0.022197
56,0.024557
46,0.022262
41,0.019584
40,0.015261
39,0.011686
41,0.010114
36,0.010128
41,0.010653
41,0.010446
