step,total_magnetization_bohr_cell
1,39.83
2,39.83
3,39.83
4,39.83
1,39.83
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
1,39.84
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
1,39.84
2,39.83
3,39.83
4,39.83
5,39.84
6,39.83
7,39.83
8,39.83
9,39.83
10,39.84
11,39.83
12,39.84
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.84
22,39.84
23,39.84
24,39.84
25,39.84
26,39.84
27,39.84
28,39.84
1,39.83
2,39.84
3,39.83
4,39.84
5,39.84
6,39.84
7,39.84
8,39.84
9,39.84
10,39.84
11,39.84
12,39.84
13,39.84
14,39.84
15,39.84
16,39.84
17,39.84
18,39.84
19,39.84
20,39.84
21,39.84
22,39.84
23,39.84
24,39.84
25,39.84
26,39.84
27,39.84
28,39.84
29,39.84
30,39.84
31,39.84
32,39.84
1,39.83
2,39.84
3,39.84
4,39.83
5,39.84
6,39.84
7,39.84
8,39.84
9,39.84
10,39.84
11,39.84
12,39.84
13,39.84
14,39.84
15,39.84
16,39.84
17,39.84
18,39.84
19,39.84
20,39.84
21,39.84
22,39.84
23,39.84
24,39.84
25,39.84
26,39.84
27,39.84
28,39.84
29,39.84
30,39.84
31,39.84
32,39.84
33,39.84
34,39.84
35,39.84
36,39.84
1,39.83
2,39.84
3,39.84
4,39.84
5,39.84
6,39.84
7,39.84
8,39.84
9,39.84
10,39.84
11,39.84
12,39.84
13,39.84
14,39.84
15,39.84
16,39.84
17,39.84
18,39.84
19,39.84
20,39.84
21,39.84
22,39.84
23,39.84
24,39.84
25,39.84
26,39.84
27,39.84
28,39.84
29,39.84
30,39.84
31,39.84
32,39.84
33,39.84
34,39.84
35,39.84
36,39.84
1,39.83
2,39.84
3,39.84
4,39.83
5,39.84
6,39.84
7,39.84
8,39.84
9,39.84
10,39.84
11,39.84
12,39.84
13,39.84
14,39.84
15,39.84
16,39.84
17,39.84
18,39.84
19,39.84
20,39.84
21,39.84
22,39.84
23,39.84
24,39.84
25,39.84
26,39.84
27,39.84
28,39.84
29,39.84
30,39.84
31,39.84
32,39.84
33,39.84
34,39.84
35,39.84
36,39.84
37,39.84
38,39.84
39,39.84
1,39.83
2,39.83
3,39.84
4,39.83
5,39.84
6,39.84
7,39.84
8,39.84
9,39.83
10,39.84
11,39.84
12,39.83
13,39.84
14,39.84
15,39.84
16,39.84
17,39.84
18,39.84
19,39.84
20,39.84
21,39.84
22,39.84
23,39.84
24,39.84
25,39.84
26,39.84
27,39.84
28,39.84
29,39.84
30,39.84
31,39.84
32,39.84
33,39.84
34,39.84
35,39.84
36,39.84
37,39.84
38,39.84
39,39.84
40,39.84
41,39.84
42,39.84
43,39.84
44,39.84
45,39.84
46,39.84
47,39.84
1,39.83
2,39.83
3,39.83
4,39.83
5,39.84
6,39.83
7,39.84
8,39.84
9,39.83
10,39.84
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
36,39.83
37,39.83
38,39.83
39,39.83
1,39.83
2,39.83
3,39.83
4,39.84
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
36,39.83
37,39.83
38,39.83
39,39.83
40,39.83
41,39.83
42,39.83
1,39.83
2,39.83
3,39.84
4,39.84
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
36,39.83
37,39.83
38,39.83
1,39.83
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
1,39.83
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
36,39.83
1,39.83
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
36,39.83
37,39.83
38,39.83
39,39.83
40,39.83
1,39.83
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
1,39.83
2,39.83
3,39.83
4,39.82
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
24,39.83
25,39.83
26,39.83
27,39.83
28,39.83
29,39.83
30,39.83
31,39.83
32,39.83
33,39.83
34,39.83
35,39.83
36,39.83
37,39.83
38,39.83
39,39.83
40,39.83
41,39.83
42,39.83
1,39.83
2,39.83
3,39.83
4,39.83
5,39.83
6,39.83
7,39.83
8,39.83
9,39.83
10,39.83
11,39.83
12,39.83
13,39.83
14,39.83
15,39.83
16,39.83
17,39.83
18,39.83
19,39.83
20,39.83
21,39.83
22,39.83
23,39.83
