step,energy_ry
89,-6580.95972575
29,-6580.96443136
48,-6580.96900501
49,-6580.97140031
46,-6580.97301921
41,-6580.97467898
38,-6580.97603561
35,-6580.97750676
36,-6580.97899578
37,-6580.9801757
37,-6580.98105133
38,-6580.98156033
38,-6580.98196915
40,-6580.98223927
32,-6580.98242253
31,-6580.98257295
36,-6580.98273088
35,-6580.98285472
37,-6580.98298853
38,-6580.98312177
41,-6580.98327093
42,-6580.98343139
41,-6580.983605
44,-6580.98378242
39,-6580.98395789
51,-6580.98413124
42,-6580.98429811
42,-6580.98441986
39,-6580.98450901
41,-6580.98457864
