step,scf_accuracy_ry
1,30.4148516
2,119.75034625
3,15.68736207
4,177.19507666
5,15.67470964
6,8.67606102
7,6.2580834
8,6.70926003
9,5.51961272
10,2.35821802
11,1.38389119
12,0.87451267
13,0.27145223
14,0.95242824
15,1.98381057
16,0.1132925
17,0.04286708
18,0.06070715
19,0.03508567
20,0.02195696
21,0.01766863
22,0.02099335
23,0.00687776
24,0.00546325
25,0.10615665
26,0.00278382
27,0.00200747
28,0.00206572
29,0.00177939
30,0.00228052
31,0.00069238
32,0.00039828
33,0.00076175
34,0.00031557
35,0.00222514
36,0.00096737
37,0.00025848
38,0.00017115
39,0.00013695
40,0.00017709
41,9.509e-05
42,8.772e-05
43,0.0001161
44,7.977e-05
45,0.00020151
46,0.00024251
47,3.607e-05
48,2.547e-05
49,3.114e-05
50,3.73e-05
51,2.57e-05
52,2.586e-05
53,1.142e-05
54,1.326e-05
55,7.91e-06
56,0.00014955
57,4.27e-06
58,3.78e-06
59,4.49e-06
60,3.7e-06
61,2.73e-06
62,2.38e-06
63,1.34e-06
64,1.99e-06
65,1.34e-06
66,2.407e-05
67,1.04e-06
68,8.9e-07
69,7.5e-07
70,6.9e-07
71,7.9e-07
72,8.3e-07
73,4.9e-07
74,7.2e-07
