step,total_magnetization_bohr_cell
1,88.48
2,94.42
3,88.51
4,74.8
5,70.08
6,60.44
7,55.19
8,49.94
9,45.27
10,43.2
11,42.95
12,42.19
13,42.42
14,41.28
15,40.87
16,40.6
17,40.38
18,40.4
19,40.42
20,40.31
21,40.36
22,40.44
23,40.34
24,40.36
25,40.39
26,40.39
27,40.39
28,40.39
29,40.4
30,40.42
31,40.42
32,40.42
33,40.41
34,40.42
35,40.42
36,40.42
37,40.42
38,40.41
39,40.41
40,40.41
41,40.41
42,40.4
43,40.39
44,40.39
45,40.38
46,40.38
47,40.37
48,40.37
49,40.36
50,40.35
51,40.34
52,40.33
53,40.32
54,40.32
55,40.31
56,40.31
57,40.31
58,40.3
59,40.3
60,40.3
61,40.29
62,40.29
63,40.29
64,40.29
65,40.29
66,40.29
67,40.29
68,40.29
69,40.29
70,40.29
71,40.29
72,40.29
73,40.29
74,40.29
75,40.29
76,40.29
77,40.29
78,40.29
79,40.29
80,40.29
81,40.29
82,40.29
83,40.29
84,40.29
85,40.29
86,40.29
87,40.29
88,40.29
89,40.3
1,40.31
2,40.29
3,40.3
4,40.31
5,40.32
6,40.3
7,40.31
8,40.31
9,40.31
10,40.31
11,40.31
12,40.31
13,40.31
14,40.31
15,40.31
16,40.31
17,40.31
18,40.31
19,40.31
20,40.31
21,40.31
22,40.31
23,40.31
24,40.31
25,40.31
26,40.31
27,40.31
28,40.31
29,40.31
1,40.32
2,40.31
3,40.32
4,40.32
5,40.33
6,40.32
7,40.32
8,40.32
9,40.32
10,40.32
11,40.32
12,40.33
13,40.33
14,40.32
15,40.32
16,40.33
17,40.33
18,40.33
19,40.33
20,40.33
21,40.33
22,40.33
23,40.33
24,40.33
25,40.33
26,40.33
27,40.33
28,40.33
29,40.33
30,40.33
31,40.33
32,40.33
33,40.33
34,40.33
35,40.33
36,40.33
37,40.33
38,40.33
39,40.33
40,40.33
41,40.33
42,40.33
43,40.33
44,40.33
45,40.33
46,40.33
47,40.33
48,40.33
1,40.35
2,40.34
3,40.34
4,40.35
5,40.34
6,40.34
7,40.35
8,40.34
9,40.35
10,40.35
11,40.35
12,40.35
13,40.35
14,40.35
15,40.35
16,40.35
17,40.35
18,40.35
19,40.35
20,40.35
21,40.35
22,40.35
23,40.35
24,40.35
25,40.35
26,40.35
27,40.35
28,40.35
29,40.35
30,40.35
31,40.35
32,40.35
33,40.35
34,40.35
35,40.35
36,40.35
37,40.36
38,40.36
39,40.36
40,40.36
41,40.36
42,40.36
43,40.36
44,40.36
45,40.36
46,40.36
47,40.36
48,40.36
49,40.36
1,40.37
2,40.36
3,40.37
4,40.37
5,40.37
6,40.37
7,40.37
8,40.37
9,40.37
10,40.37
11,40.37
12,40.37
13,40.37
14,40.37
15,40.37
16,40.37
17,40.37
18,40.37
19,40.37
20,40.37
21,40.37
22,40.37
23,40.37
24,40.38
25,40.38
26,40.38
27,40.38
28,40.38
29,40.38
30,40.38
31,40.38
32,40.38
33,40.38
34,40.38
35,40.38
36,40.38
37,40.38
38,40.38
39,40.38
40,40.38
41,40.38
42,40.38
43,40.38
44,40.38
45,40.38
46,40.38
1,40.39
2,40.38
3,40.39
4,40.39
5,40.39
6,40.39
7,40.39
8,40.39
9,40.39
10,40.39
11,40.39
12,40.4
13,40.4
14,40.39
15,40.39
16,40.39
17,40.39
18,40.39
19,40.39
20,40.39
21,40.39
22,40.39
23,40.39
24,40.4
25,40.4
26,40.4
27,40.4
28,40.4
29,40.4
30,40.4
31,40.4
32,40.4
33,40.4
34,40.4
35,40.4
36,40.4
37,40.4
38,40.4
39,40.4
40,40.4
41,40.4
1,40.4
2,40.4
3,40.4
4,40.4
5,40.41
6,40.41
7,40.41
8,40.4
9,40.4
10,40.4
11,40.4
12,40.41
13,40.4
14,40.4
15,40.41
16,40.41
17,40.41
18,40.41
19,40.41
20,40.41
21,40.41
22,40.41
23,40.41
24,40.41
25,40.41
26,40.41
27,40.41
28,40.41
29,40.41
30,40.41
31,40.41
32,40.41
33,40.41
34,40.41
35,40.41
36,40.41
37,40.41
38,40.41
1,40.4
2,40.41
3,40.41
4,40.4
5,40.41
6,40.41
7,40.41
8,40.41
9,40.41
10,40.41
11,40.41
12,40.41
13,40.41
14,40.41
15,40.41
16,40.41
17,40.41
18,40.41
19,40.41
20,40.41
21,40.41
22,40.41
23,40.41
24,40.41
25,40.41
26,40.41
27,40.41
28,40.41
29,40.41
30,40.41
31,40.41
32,40.41
33,40.41
34,40.41
35,40.41
1,40.4
2,40.41
3,40.41
4,40.4
5,40.42
6,40.42
7,40.42
8,40.42
9,40.41
10,40.42
11,40.41
12,40.41
13,40.41
14,40.42
15,40.41
16,40.42
17,40.42
18,40.42
19,40.42
20,40.42
21,40.42
22,40.42
23,40.42
24,40.42
25,40.42
26,40.42
27,40.42
28,40.42
29,40.42
30,40.42
31,40.42
32,40.42
33,40.42
34,40.42
35,40.42
36,40.42
1,40.41
2,40.42
3,40.42
4,40.41
5,40.42
6,40.43
7,40.42
8,40.42
9,40.42
10,40.42
11,40.42
12,40.42
13,40.42
14,40.42
15,40.42
16,40.42
17,40.42
18,40.42
19,40.42
20,40.42
21,40.42
22,40.42
23,40.42
24,40.42
25,40.42
26,40.42
27,40.42
28,40.42
29,40.42
30,40.42
31,40.42
32,40.42
33,40.42
34,40.42
35,40.42
36,40.42
37,40.42
1,40.42
2,40.43
3,40.42
4,40.42
5,40.43
6,40.43
7,40.42
8,40.43
9,40.42
10,40.43
11,40.43
12,40.43
13,40.43
14,40.43
15,40.43
16,40.43
17,40.43
18,40.43
19,40.43
20,40.43
21,40.43
22,40.43
23,40.43
24,40.43
25,40.43
26,40.43
27,40.43
28,40.43
29,40.43
30,40.43
31,40.43
32,40.43
33,40.43
34,40.43
35,40.43
36,40.43
37,40.43
1,40.43
2,40.43
3,40.43
4,40.43
5,40.43
6,40.43
7,40.43
8,40.43
9,40.43
10,40.43
11,40.43
12,40.43
13,40.43
