step,conv_thr_ry
91,1e-07
31,4.27e-08
39,2.19e-08
41,1.78e-08
40,1.67e-08
41,1.63e-08
38,1.14e-08
38,1.06e-08
40,1.62e-08
38,1.66e-08
40,2.14e-08
44,3.21e-08
37,3.21e-08
36,4.37e-08
38,3.41e-08
39,4.65e-08
33,3.09e-08
40,3.09e-08
40,1.87e-08
36,1.33e-08
33,8.4e-09
39,7.9e-09
37,4.2e-09
37,2.9e-09
29,1.7e-09
36,1.7e-09
32,1.5e-09
33,1.5e-09
39,2e-09
40,2e-09
42,2.5e-09
40,2.8e-09
45,3.9e-09
42,5.1e-09
47,6.4e-09
47,8.6e-09
51,1.21e-08
56,1.43e-08
46,1.68e-08
46,1.05e-08
48,1.15e-08
41,8.5e-09
46,6.6e-09
49,6e-09
36,5e-09
45,5.6e-09
46,5.8e-09
42,4.7e-09
42,6.5e-09
39,7.2e-09
44,3.8e-09
38,4.4e-09
36,5e-09
52,4.3e-09
48,4.6e-09
48,3.3e-09
40,2.9e-09
36,2.2e-09
36,1.4e-09
36,1e-09
38,1e-09
35,1e-09
38,1e-09
35,1e-09
37,1e-09
40,1e-09
37,1e-09
38,1e-09
33,1e-09
39,1e-09
33,1e-09
43,1e-09
43,1e-09
38,1e-09
37,1e-09
35,1e-09
36,1e-09
39,1e-09
46,1e-09
49,1e-09
49,1e-09
49,1e-09
47,1.2e-09
52,1.4e-09
57,2.6e-09
53,3.2e-09
55,4.3e-09
42,7.4e-09
47,8.5e-09
51,5.9e-09
42,3.4e-09
