step,energy_ry
91,-6614.50801662
31,-6614.51290072
39,-6614.51786628
41,-6614.52116053
40,-6614.52286252
41,-6614.52485144
38,-6614.52627902
38,-6614.52772174
40,-6614.53003214
38,-6614.53262323
40,-6614.53498044
44,-6614.53828676
37,-6614.5415004
36,-6614.54586691
38,-6614.5512045
39,-6614.55585731
33,-6614.56020911
40,-6614.56437268
40,-6614.56871866
36,-6614.57084639
33,-6614.57269354
39,-6614.57356638
37,-6614.57398765
37,-6614.57427771
29,-6614.57445218
36,-6614.5746174
32,-6614.57476897
33,-6614.57491857
39,-6614.57511641
40,-6614.57531919
42,-6614.57557339
40,-6614.57585306
45,-6614.57624505
42,-6614.57675464
47,-6614.57739048
47,-6614.57825042
51,-6614.57966055
56,-6614.58165804
46,-6614.58333947
46,-6614.58438867
48,-6614.58563872
41,-6614.58649009
46,-6614.5872711
49,-6614.58807096
36,-6614.58857061
45,-6614.58913107
46,-6614.58970618
42,-6614.59017864
42,-6614.59082635
39,-6614.59154809
44,-6614.59192871
38,-6614.59237256
36,-6614.59294586
52,-6614.59352291
48,-6614.59400812
48,-6614.59433354
40,-6614.5946208
36,-6614.59484302
36,-6614.59498235
36,-6614.59505775
38,-6614.59511277
35,-6614.59515406
38,-6614.59520637
35,-6614.59526896
37,-6614.59534989
40,-6614.59544865
37,-6614.59553358
38,-6614.59560891
33,-6614.59565768
39,-6614.59568835
33,-6614.59571532
43,-6614.59575185
43,-6614.59580085
38,-6614.59584678
37,-6614.59588126
35,-6614.59591232
36,-6614.59594836
39,-6614.59600084
46,-6614.59606961
49,-6614.59614195
49,-6614.5962222
49,-6614.59632064
47,-6614.59643757
52,-6614.59658
57,-6614.5968411
53,-6614.59716029
55,-6614.59759424
42,-6614.59833022
47,-6614.59917788
51,-6614.5997709
42,-6614.6001123
46,-6614.60042612
42,-6614.60061605
41,-6614.60080228
46,-6614.60091133
48,-6614.60095789
32,-6614.6009961
37,-6614.60103069
40,-6614.60107015
34,-6614.60111958
37,-6614.60117437
37,-6614.60125324
41,-6614.60133774
41,-6614.6014213
