step,scf_accuracy_ry
1,30.38432628
2,118.45698553
3,19.06335786
4,312.47231118
5,8.50360046
6,8.55564307
7,5.9838441
8,6.16547018
9,5.13834514
10,1.85376312
11,0.59443405
12,0.76794069
13,0.2388501
14,1.32860807
15,0.12703789
16,0.05606954
17,0.05535299
18,0.01953748
19,0.03414439
20,0.01351944
21,0.01174711
22,0.0192583
23,0.00379454
24,0.0046702
25,0.00714408
26,0.00332886
27,0.00390815
28,0.00211293
29,0.00092721
30,0.00070296
31,0.00041167
32,0.00040558
33,0.00019652
34,0.0003278
35,0.00016312
36,0.00059219
37,0.00017442
38,0.00012998
39,0.00020768
40,0.00016313
41,5.41e-05
42,5.907e-05
43,4.113e-05
44,6.467e-05
45,5.166e-05
46,9.581e-05
47,3.648e-05
48,1.589e-05
49,2.718e-05
50,2.776e-05
51,1.319e-05
52,1.396e-05
53,8.79e-06
54,1.061e-05
55,8.71e-06
56,1.194e-05
57,5.95e-06
58,2.95e-06
59,5.38e-06
60,3.96e-06
61,3.63e-06
62,2.08e-06
63,1.89e-06
64,1.54e-06
65,1.36e-06
66,1.7e-06
67,1.61e-06
68,9.1e-07
69,1.36e-06
70,1.2e-06
71,1.03e-06
72,7.2e-07
73,6.7e-07
74,5.6e-07
75,6.6e-07
76,8.3e-07
77,7.7e-07
78,3.8e-07
79,4.4e-07
80,5e-07
81,3.9e-07
82,3.3e-07
83,2.7e-07
84,2.7e-07
85,3.1e-07
86,3.4e-07
87,2.9e-07
88,1.2e-07
89,1.2e-07
90,1.7e-07
91,9e-08
1,0.00414321
2,0.01204535
3,0.03656469
4,0.0131734
5,0.00233582
6,0.00094074
7,0.00044417
8,0.00055363
9,0.00022156
10,0.00013334
11,8.429e-05
12,7.154e-05
13,3.92e-05
14,0.00057818
15,3.969e-05
16,2.801e-05
17,8.84e-06
18,7.93e-06
19,6.26e-06
20,2.19e-06
21,1.96e-06
22,3.31e-06
23,2.41e-06
24,6.6e-07
25,4.81e-06
26,5.7e-07
27,5.4e-07
28,3.1e-07
29,1.6e-07
30,2e-07
31,8e-08
1,0.00291213
2,0.03140394
3,0.03591532
4,0.00231242
5,0.00159884
6,0.00102839
7,0.00041527
8,0.00067765
9,0.00016532
10,7.696e-05
11,8.695e-05
12,3.946e-05
13,0.00025953
14,0.00016817
15,3.269e-05
16,3.599e-05
17,1.805e-05
18,3.62e-06
19,4.04e-06
20,2.79e-06
21,3.94e-06
22,3.47e-06
23,1.52e-06
24,6.43e-06
25,1.91e-06
26,4.6e-07
27,4.9e-07
28,6.2e-07
29,2.8e-07
30,1.4e-07
31,1.5e-07
32,1e-07
33,1.2e-07
34,7e-08
35,9e-08
36,1.2e-07
37,5e-08
