step,total_force_ry_bohr
87,0.125302
38,0.092703
49,0.054692
35,0.048761
41,0.049802
45,0.060759
40,0.048798
46,0.041804
48,0.042358
42,0.044721
48,0.045276
49,0.04503
50,0.051759
50,0.076057
50,0.119326
35,0.094821
45,0.075369
35,0.05247
45,0.051099
41,0.08086
38,0.029019
35,0.018557
36,0.019449
38,0.018
38,0.014226
35,0.014361
40,0.016163
41,0.016951
38,0.014977
39,0.013137
40,0.012989
36,0.013153
36,0.012616
35,0.011811
41,0.011188
41,0.010055
38,0.008573
40,0.007852
37,0.008164
40,0.009182
42,0.010215
42,0.011319
51,0.012278
46,0.013055
48,0.013067
45,0.012441
47,0.011826
50,0.010578
45,0.009968
41,0.009293
47,0.009463
47,0.009405
41,0.009338
36,0.009519
46,0.010228
45,0.011258
41,0.011165
46,0.01082
42,0.010404
47,0.011116
46,0.011572
48,0.01193
50,0.012478
51,0.014162
52,0.016068
50,0.020197
61,0.024833
57,0.038854
40,0.03751
46,0.036946
51,0.035745
48,0.06079
50,0.041382
47,0.043278
49,0.024756
46,0.049861
44,0.025285
38,0.01779
34,0.016101
40,0.014474
45,0.013115
45,0.011933
38,0.010992
41,0.011546
41,0.011098
47,0.017255
38,0.012304
41,0.010482
46,0.011077
