step,total_magnetization_bohr_cell
1,87.43
2,92.94
3,86.65
4,89.01
5,69.59
6,63.37
7,58.79
8,53.06
9,46.38
10,42.24
11,41.33
12,41.48
13,41.28
14,40.66
15,39.78
16,39.23
17,39.14
18,39.11
19,38.83
20,38.85
21,38.81
22,38.73
23,38.72
24,38.67
25,38.71
26,38.68
27,38.72
28,38.71
29,38.73
30,38.77
31,38.8
32,38.82
33,38.85
34,38.87
35,38.9
36,38.9
37,38.92
38,38.93
39,38.95
40,38.97
41,38.99
42,39.0
43,39.01
44,39.02
45,39.03
46,39.03
47,39.04
48,39.05
49,39.06
50,39.06
51,39.06
52,39.06
53,39.07
54,39.07
55,39.06
56,39.06
57,39.06
58,39.06
59,39.06
60,39.06
61,39.06
62,39.06
63,39.05
64,39.05
65,39.05
66,39.05
67,39.05
68,39.05
69,39.04
70,39.04
71,39.04
72,39.04
73,39.04
74,39.04
75,39.04
76,39.04
77,39.04
78,39.04
79,39.04
80,39.03
