step,conv_thr_ry
87,1e-07
32,5.41e-08
46,5.73e-08
40,4.87e-08
47,3.74e-08
50,2.68e-08
38,2.65e-08
41,1.34e-08
41,1.03e-08
45,8.8e-09
36,4.8e-09
38,4e-09
36,3.7e-09
38,4.7e-09
38,5.4e-09
42,5.2e-09
36,3.7e-09
42,3.9e-09
35,2.2e-09
35,1.6e-09
41,1.3e-09
46,1.3e-09
46,1.4e-09
48,1.6e-09
41,1.8e-09
48,2.2e-09
42,2.4e-09
46,2.4e-09
41,2.1e-09
38,1.5e-09
40,1.1e-09
41,1e-09
39,1e-09
32,1e-09
36,1e-09
37,1e-09
38,1e-09
35,1e-09
44,1e-09
40,1e-09
39,1e-09
36,1e-09
27,1e-09
28,1e-09
35,1e-09
32,1e-09
36,1e-09
42,1e-09
39,1e-09
39,1e-09
49,1e-09
36,1e-09
36,1e-09
53,1e-09
47,1e-09
41,1e-09
37,1e-09
53,1e-09
37,1e-09
37,1e-09
37,1e-09
35,1e-09
39,1e-09
41,1e-09
45,1e-09
48,1.3e-09
47,1.3e-09
43,1.2e-09
45,2.1e-09
43,1e-09
35,1.4e-09
40,1.2e-09
40,1e-09
43,1e-09
49,1e-09
31,1e-09
33,1e-09
33,1e-09
31,1e-09
29,1e-09
31,1e-09
30,1e-09
32,1e-09
39,1e-09
40,1e-09
43,1e-09
47,1e-09
44,1.3e-09
65,1e-09
40,1.2e-09
48,1e-09
36,1e-09
40,1e-09
38,1e-09
40,1e-09
42,1e-09
46,1e-09
38,1e-09
37,1e-09
39,1e-09
42,1e-09
36,1e-09
41,1e-09
36,1e-09
39,1e-09
37,1e-09
42,1e-09
46,1e-09
42,1e-09
41,1.3e-09
40,1.4e-09
33,1.1e-09
40,1.1e-09
37,1.1e-09
