step,energy_ry
87,-6614.52286984
32,-6614.53076099
46,-6614.54340481
40,-6614.5524552
47,-6614.56252736
50,-6614.57150021
38,-6614.57622707
41,-6614.58070682
41,-6614.58188093
45,-6614.58292397
36,-6614.58340863
38,-6614.58380781
36,-6614.58417472
38,-6614.58464429
38,-6614.58518287
42,-6614.58570783
36,-6614.58607997
42,-6614.58653424
35,-6614.5867577
35,-6614.58691627
41,-6614.58704827
46,-6614.58718229
46,-6614.58732542
48,-6614.58748526
41,-6614.58766247
48,-6614.58788405
42,-6614.58812489
46,-6614.58836074
41,-6614.58857008
38,-6614.58871526
40,-6614.58882237
41,-6614.58891928
39,-6614.58899167
32,-6614.58904614
36,-6614.58909386
37,-6614.58914178
38,-6614.58919018
35,-6614.58923721
44,-6614.58928374
40,-6614.58933343
39,-6614.58938183
36,-6614.58941772
27,-6614.58944026
28,-6614.5894574
35,-6614.58947503
32,-6614.58949239
36,-6614.58950835
42,-6614.58952396
39,-6614.58954187
39,-6614.5895654
49,-6614.58960359
36,-6614.58965845
36,-6614.58970308
53,-6614.58975365
47,-6614.58979245
41,-6614.58983429
37,-6614.58987923
53,-6614.58991422
37,-6614.5899514
37,-6614.58998188
37,-6614.59000182
35,-6614.59002893
