step,scf_accuracy_ry
1,30.32798848
2,118.66104334
3,20.56262305
4,256.96435885
5,9.27375904
6,11.65399693
7,5.48503378
8,6.53734478
9,5.68131874
10,3.51509066
11,1.08721539
12,0.79146229
13,0.25766756
14,0.64437672
15,0.09185644
16,0.06989471
17,0.04760485
18,0.02021395
19,0.02275399
20,0.01439219
21,0.00976629
22,0.01060504
23,0.00342619
24,0.00449735
25,0.00211065
26,0.00308328
27,0.00350705
28,0.00218928
29,0.00142578
30,0.00079165
31,0.00040104
32,0.00045465
33,0.00031782
34,0.00090405
35,0.00058761
36,0.00014721
37,0.00057144
38,0.00020975
39,7.206e-05
40,0.00019537
41,0.00010113
42,4.042e-05
43,3.116e-05
44,3.053e-05
45,5.447e-05
46,9.117e-05
47,3.528e-05
48,5.023e-05
49,1.359e-05
50,1.559e-05
51,1.86e-05
52,1.299e-05
53,1.824e-05
54,6.8e-06
55,7.47e-06
56,9.32e-06
57,2.87e-06
58,4.1e-06
59,2.85e-06
60,2.55e-06
61,3.97e-06
62,2.01e-06
63,1.77e-06
64,8.7e-07
65,7e-07
66,9.7e-07
67,6.9e-07
68,1.2e-06
69,1.2e-06
70,5.5e-07
71,5.2e-07
72,4.2e-07
73,2.8e-07
74,2.5e-07
75,3.4e-07
76,4e-07
77,3.8e-07
78,4.2e-07
79,2.8e-07
80,1.5e-07
81,1.4e-07
82,2.1e-07
83,1.5e-07
84,1.4e-07
85,1.5e-07
86,1.4e-07
87,1e-07
1,0.00559538
2,0.1827856
3,0.02713055
4,0.00400151
5,0.00298976
6,0.00106162
7,0.00064107
8,0.00078425
9,0.00020693
10,0.00014391
11,9.323e-05
12,7.19e-05
13,0.00010113
14,0.00054039
15,3.503e-05
16,2.845e-05
17,1.184e-05
18,4.74e-06
19,3.53e-06
20,5.01e-06
21,2.18e-06
22,2.38e-06
23,1.43e-06
24,1.164e-05
25,8.9e-07
26,4.8e-07
27,3.3e-07
28,3.1e-07
29,2.1e-07
30,1.4e-07
31,1e-07
32,1e-07
1,0.00852016
2,0.11053683
3,0.07366349
4,0.00577178
5,0.00636251
6,0.00307721
7,0.00149829
8,0.00225814
9,0.00039498
10,0.00021052
11,0.00021223
12,0.00014526
13,0.00113592
14,0.00056852
15,7.816e-05
16,3.884e-05
17,2.493e-05
18,1.605e-05
19,1.257e-05
20,8.72e-06
21,5.19e-06
22,4.18e-06
23,5.43e-06
24,1.808e-05
25,1.35e-06
26,2.52e-06
27,9.3e-07
28,5.8e-07
29,5.2e-07
