step,total_force_ry_bohr
87,0.108515
32,0.087095
46,0.083533
40,0.08205
47,0.079123
50,0.075529
38,0.056437
41,0.03732
41,0.029071
45,0.023371
36,0.01937
38,0.016262
36,0.015805
38,0.016228
38,0.017942
42,0.019203
36,0.016577
42,0.012181
35,0.010614
35,0.009861
41,0.01017
46,0.00886
46,0.009277
48,0.009903
41,0.010469
48,0.011387
42,0.012318
46,0.01199
41,0.009777
38,0.007998
40,0.007492
41,0.006931
39,0.005812
32,0.005086
36,0.005133
37,0.005316
38,0.005125
35,0.004893
44,0.005108
40,0.005353
39,0.004833
36,0.003779
27,0.003168
28,0.003085
35,0.003062
32,0.002867
36,0.002773
42,0.003033
39,0.003415
39,0.003802
49,0.004323
36,0.005097
36,0.005124
53,0.004722
47,0.004476
41,0.004644
37,0.004883
53,0.004483
37,0.003783
37,0.00354
37,0.003902
35,0.004414
39,0.005457
41,0.006687
45,0.008062
48,0.00951
47,0.00945
43,0.009149
45,0.009053
43,0.012308
35,0.009379
40,0.006888
40,0.005698
43,0.005434
49,0.006163
31,0.005651
33,0.004526
33,0.003671
31,0.004228
29,0.004531
31,0.004623
30,0.004671
32,0.004901
39,0.0054
40,0.00614
43,0.007157
47,0.008601
44,0.00953
65,0.010153
40,0.006905
48,0.005943
36,0.007284
40,0.007596
38,0.006883
40,0.006409
42,0.005501
46,0.005273
38,0.005844
37,0.004983
39,0.005315
42,0.004546
36,0.005211
41,0.004774
36,0.004555
39,0.004577
37,0.005252
