step,energy_ry
70,-11771.85349524
22,-11771.85447421
29,-11771.85591716
29,-11771.85665031
27,-11771.85690895
29,-11771.85726408
30,-11771.85758438
30,-11771.85786902
29,-11771.85797667
33,-11771.85812539
40,-11771.85829707
38,-11771.8584744
34,-11771.85863303
34,-11771.85879958
37,-11771.85896303
37,-11771.85914084
40,-11771.85932718
37,-11771.85951303
39,-11771.8596824
38,-11771.85985773
38,-11771.86000822
36,-11771.86016087
34,-11771.86032742
37,-11771.86051772
37,-11771.86069901
35,-11771.8608773
34,-11771.86102438
39,-11771.86117398
38,-11771.86132193
37,-11771.86146916
38,-11771.86158812
36,-11771.86169215
38,-11771.86180086
43,-11771.86195087
38,-11771.8621215
36,-11771.86226379
39,-11771.86238436
41,-11771.86248512
40,-11771.86260365
41,-11771.86269604
34,-11771.8627745
36,-11771.86283612
32,-11771.86289931
36,-11771.86295978
37,-11771.86301343
36,-11771.86307202
35,-11771.86313069
32,-11771.86318114
34,-11771.86324486
35,-11771.86329868
32,-11771.8633657
38,-11771.86343722
35,-11771.86350602
35,-11771.86356797
40,-11771.86366016
