step,scf_accuracy_ry
1,111.06305282
2,120.01707349
3,45.68471871
4,22.70900835
5,26.82751157
6,22.15838129
7,14.83614025
8,7.84792268
9,7.03495692
10,6.85638468
11,3.5927733
12,3.44042002
13,2.51132488
14,0.77331646
15,1.64607841
16,0.42943359
17,0.18113606
18,0.10699924
19,0.12135719
20,0.06009205
21,0.0695362
22,0.03525003
23,0.03870311
24,0.02848469
25,0.02259223
26,0.03096116
27,0.01102706
28,0.00941602
29,0.01044763
30,0.00976259
31,0.00592013
32,0.00282735
33,0.0030668
34,0.00152386
35,0.00209246
36,0.00134043
37,0.00047584
