step,total_force_ry_bohr
70,0.037052
22,0.034763
29,0.021966
29,0.021485
27,0.015376
29,0.016425
30,0.014442
30,0.010792
29,0.00996
33,0.010305
40,0.011176
38,0.010438
34,0.009868
34,0.010788
37,0.0118
37,0.011196
40,0.010228
37,0.010386
39,0.010684
38,0.010629
38,0.010344
36,0.010056
34,0.010624
37,0.011094
37,0.010424
35,0.009654
34,0.009378
39,0.009486
38,0.009313
37,0.008682
38,0.008327
36,0.008481
38,0.008871
43,0.009402
38,0.008641
36,0.008598
39,0.008569
41,0.00869
40,0.008857
41,0.007163
34,0.006767
36,0.006553
32,0.005685
36,0.005432
37,0.005519
36,0.00559
35,0.005609
32,0.00527
34,0.005659
35,0.006305
32,0.006052
38,0.006071
35,0.006075
35,0.006304
40,0.006546
38,0.006397
39,0.006194
38,0.006362
38,0.006276
35,0.005857
33,0.005059
32,0.004492
