step,gradient_error_ry_bohr
1,0.17
2,0.14
3,0.14
4,0.15
5,0.18
6,0.21
7,0.13
8,0.22
9,0.071
10,0.082
11,0.1
12,0.076
13,0.1
14,0.079
15,0.074
16,0.063
17,0.068
18,0.082
19,0.072
20,0.056
21,0.049
22,0.052
23,0.063
24,0.078
25,0.059
26,0.042
27,0.042
28,0.038
29,0.034
30,0.03
31,0.024
32,0.032
33,0.028
34,0.023
35,0.018
36,0.021
37,0.029
38,0.029
39,0.012
40,0.016
41,0.012
42,0.016
43,0.013
44,0.016
45,0.015
46,0.013
47,0.011
48,0.012
49,0.011
50,0.012
51,0.015
52,0.022
53,0.013
54,0.011
55,0.011
56,0.01
57,0.011
58,0.012
59,0.01
60,0.012
61,0.01
62,0.01
63,0.0094
64,0.013
65,0.011
66,0.0081
67,0.0095
68,0.014
69,0.012
