step,total_force_ry_bohr
1,0.820933
2,0.572635
3,0.446228
4,0.48158
5,0.450764
6,0.486517
7,0.381485
8,0.470828
9,0.290007
10,0.263679
11,0.269275
12,0.301616
13,0.38468
14,0.319954
15,0.287632
16,0.260018
17,0.268679
18,0.360953
19,0.322573
20,0.266185
21,0.238848
22,0.264428
23,0.270239
24,0.257034
25,0.20368
26,0.158079
27,0.165564
28,0.149054
29,0.137461
30,0.120648
31,0.111376
32,0.10651
33,0.100236
34,0.097989
35,0.091668
36,0.087841
37,0.088947
38,0.090379
39,0.07514
40,0.067151
41,0.062523
42,0.065494
43,0.069237
44,0.068054
45,0.065555
46,0.062069
47,0.059275
48,0.056938
49,0.053348
50,0.053561
51,0.057959
52,0.066532
53,0.05129
54,0.046239
55,0.047379
56,0.046439
57,0.045542
58,0.046845
59,0.048366
60,0.050063
61,0.046295
62,0.041615
63,0.043037
64,0.045009
65,0.043157
66,0.040946
67,0.043332
68,0.046837
69,0.046494
70,0.042198
71,0.039608
72,0.039876
73,0.038685
74,0.034245
