step,energy_ry
112,-11770.54789357
35,-11770.55475959
39,-11770.56045283
42,-11770.56523675
41,-11770.56626015
27,-11770.56681353
29,-11770.5674563
31,-11770.56814019
32,-11770.56854039
32,-11770.56868405
42,-11770.56887431
38,-11770.56909962
32,-11770.56927605
30,-11770.56939758
33,-11770.5694933
39,-11770.5696096
36,-11770.56972438
36,-11770.56983011
33,-11770.56992075
40,-11770.57004064
38,-11770.5701797
34,-11770.5703217
39,-11770.57044936
37,-11770.57057649
43,-11770.57078322
49,-11770.5710002
36,-11770.57118608
38,-11770.57134656
36,-11770.57151904
41,-11770.57172227
41,-11770.57188303
38,-11770.57203425
37,-11770.57218556
36,-11770.57235356
41,-11770.57250638
39,-11770.57264957
37,-11770.572791
36,-11770.57292744
40,-11770.57306822
35,-11770.57319037
40,-11770.57334281
35,-11770.57346452
37,-11770.57357255
39,-11770.5736719
