step,gradient_error_ry_bohr
112,0.057
35,0.049
39,0.038
42,0.02
41,0.017
27,0.0087
29,0.013
31,0.014
32,0.0083
32,0.0028
42,0.0071
38,0.0093
32,0.0066
30,0.0017
33,0.0045
39,0.0075
36,0.0068
36,0.002
33,0.0037
40,0.0067
38,0.0069
34,0.0036
39,0.0019
37,0.0056
43,0.0082
49,0.0062
36,0.0023
38,0.0039
36,0.0067
41,0.0059
41,0.0027
38,0.0032
37,0.0064
36,0.006
41,0.0048
39,0.0019
37,0.0038
36,0.0042
40,0.0028
35,0.0023
40,0.0043
35,0.004
37,0.003
39,0.0014
41,0.0026
50,0.0037
39,0.0019
33,0.0016
37,0.0029
36,0.0019
