step,scf_accuracy_ry
1,106.00410714
2,114.25271098
3,45.19627016
4,23.16938099
5,27.50489079
6,27.51331775
7,14.06709774
8,17.39722305
9,6.77008122
10,6.92587811
11,9.41903701
12,6.47233415
13,9.4738546
14,6.17819606
15,4.10281161
16,3.84156463
17,3.63850475
18,3.62274622
19,3.00234719
20,1.8594452
21,3.75296133
22,0.6935992
23,0.61556092
24,0.27799671
25,0.26349862
26,0.15343702
27,0.18674959
28,0.14359188
29,0.03186054
30,0.02304868
31,0.02048172
32,0.02750179
33,0.01311816
34,0.01103455
35,0.01130546
36,0.0098952
37,0.00627206
38,0.00365729
39,0.00215735
40,0.00196578
41,0.00207688
42,0.00180102
43,0.0011017
44,0.00083716
45,0.00075225
46,0.00083119
47,0.00026079
48,0.00024781
49,0.00024131
50,0.00017154
51,0.00013908
52,0.0001857
53,0.00012857
54,0.00015546
55,5.893e-05
56,5.322e-05
57,5.314e-05
58,4.173e-05
59,4.977e-05
60,5.74e-05
61,3.717e-05
62,2.653e-05
63,2.749e-05
64,2.247e-05
65,2.118e-05
66,1.479e-05
67,1.725e-05
68,1.172e-05
69,1.406e-05
70,1.379e-05
71,1.055e-05
72,6.36e-06
73,6.75e-06
74,6.05e-06
75,7.07e-06
76,4.1e-06
77,4.14e-06
78,2.97e-06
79,2.8e-06
80,2.75e-06
81,2.39e-06
82,1.99e-06
83,2.24e-06
84,1.98e-06
85,2.14e-06
86,1.37e-06
87,1.41e-06
88,1.07e-06
89,9.7e-07
90,1e-06
91,9.3e-07
92,8.3e-07
93,7.5e-07
94,7.1e-07
95,7.4e-07
96,5.1e-07
97,5.5e-07
98,4.3e-07
99,4.3e-07
100,4.3e-07
101,3.9e-07
102,3.7e-07
103,3.1e-07
104,3e-07
105,2.7e-07
106,2.3e-07
107,2.5e-07
108,2.3e-07
109,2.4e-07
110,2.3e-07
111,2.1e-07
112,1.9e-07
1,0.00096926
2,0.00576926
3,0.00040007
4,0.00041152
5,0.00023553
6,0.00021297
7,0.00021042
8,7.806e-05
9,3.307e-05
10,3.986e-05
11,3.474e-05
12,1.319e-05
13,9.99e-06
14,1.215e-05
15,5.34e-06
16,5.88e-06
17,4.9e-06
18,3.75e-06
19,2.31e-06
20,1.9e-06
21,1.79e-06
22,1.48e-06
23,1.49e-06
24,8.3e-07
25,7.6e-07
26,6.6e-07
27,5.8e-07
28,4.8e-07
29,3.8e-07
30,3.9e-07
31,3.2e-07
32,2.9e-07
33,2.7e-07
34,2.8e-07
35,1.6e-07
1,0.00103428
2,0.00512997
3,0.000484
4,0.00039494
5,0.00035713
6,0.00021498
7,0.00022816
8,0.00012342
9,4.052e-05
10,3.279e-05
11,4.655e-05
12,2.058e-05
13,2.171e-05
14,1.109e-05
15,7e-06
16,9.19e-06
17,4.74e-06
18,4.58e-06
19,3.52e-06
20,1.88e-06
21,2.42e-06
22,1.41e-06
23,1.41e-06
24,1.41e-06
25,8.1e-07
26,8.7e-07
27,6.8e-07
28,6.1e-07
29,6.1e-07
30,4.4e-07
31,3.5e-07
32,3.1e-07
33,3.2e-07
34,2.2e-07
35,2.2e-07
36,1.3e-07
37,1.2e-07
38,1e-07
39,7e-08
1,0.00163299
2,0.00240564
3,0.00136622
4,0.001001
5,0.00077075
6,0.00040961
7,0.00044077
8,0.00046888
9,8.956e-05
10,5.611e-05
11,7.197e-05
12,5.138e-05
13,1.74e-05
14,1.557e-05
15,2.139e-05
16,9.53e-06
17,9.86e-06
18,5.73e-06
19,3.34e-06
20,2.68e-06
21,2.51e-06
22,1.59e-06
23,1.3e-06
24,1.65e-06
25,1.12e-06
26,1.03e-06
27,6.6e-07
28,6.7e-07
29,6.4e-07
30,4.3e-07
31,3.5e-07
32,3.8e-07
33,3e-07
34,4e-07
35,2.4e-07
36,2.1e-07
37,1.4e-07
38,1.4e-07
39,1.5e-07
40,1e-07
41,7e-08
42,6e-08
