step,total_force_ry_bohr
112,0.087871
35,0.072739
39,0.053972
42,0.036302
41,0.036728
27,0.019355
29,0.020759
31,0.023487
32,0.016514
32,0.011045
42,0.013077
38,0.016021
32,0.012026
30,0.007649
33,0.009533
39,0.012812
36,0.011462
36,0.007593
33,0.008702
40,0.01252
38,0.013432
34,0.010346
39,0.00933
37,0.012636
43,0.015782
49,0.013886
36,0.009714
38,0.010872
36,0.013766
41,0.013898
41,0.010699
38,0.01015
37,0.012148
36,0.012196
41,0.011362
39,0.00882
37,0.010063
36,0.010145
40,0.008693
35,0.008885
