step,total_magnetization_bohr_cell
1,75.27
2,114.0
3,109.16
4,107.72
5,105.85
6,94.04
7,97.26
8,68.8
9,65.22
10,65.41
11,60.56
12,58.12
13,56.03
14,52.22
15,48.27
16,47.21
17,45.32
18,44.86
19,46.29
20,45.92
21,45.3
22,44.59
23,44.19
24,44.0
25,44.02
26,43.92
27,43.91
28,43.92
29,43.88
30,43.89
31,43.9
32,43.91
33,43.93
34,43.94
35,43.94
36,43.95
37,43.96
38,43.96
39,43.96
40,43.96
41,43.96
42,43.96
43,43.96
44,43.96
45,43.96
46,43.96
47,43.96
48,43.96
49,43.96
50,43.96
51,43.96
52,43.96
53,43.96
54,43.96
55,43.97
56,43.97
57,43.97
58,43.97
59,43.97
60,43.97
61,43.97
62,43.97
63,43.97
64,43.97
65,43.97
66,43.97
67,43.97
68,43.97
69,43.97
70,43.97
71,43.97
72,43.97
73,43.97
74,43.97
75,43.98
76,43.98
77,43.98
78,43.98
79,43.98
80,43.98
81,43.98
82,43.98
83,43.98
84,43.98
85,43.98
86,43.98
87,43.98
88,43.98
89,43.98
90,43.98
91,43.98
92,43.98
93,43.98
94,43.98
95,43.98
96,43.98
97,43.98
98,43.98
99,43.98
100,43.98
101,43.98
102,43.98
103,43.98
104,43.98
105,43.98
106,43.98
107,43.98
108,43.98
109,43.98
110,43.98
111,43.98
112,43.98
1,43.97
2,43.98
3,43.97
4,43.97
5,43.97
6,43.97
7,43.97
8,43.97
9,43.97
10,43.97
11,43.97
12,43.97
13,43.97
14,43.97
15,43.97
16,43.97
17,43.97
18,43.97
19,43.97
20,43.97
21,43.97
22,43.97
23,43.97
24,43.97
25,43.97
26,43.97
27,43.97
28,43.97
29,43.97
30,43.97
31,43.97
32,43.97
33,43.97
34,43.97
35,43.97
1,43.96
2,43.96
3,43.96
4,43.96
5,43.96
6,43.96
7,43.96
8,43.96
9,43.96
10,43.96
11,43.96
12,43.96
13,43.96
14,43.96
15,43.96
16,43.96
17,43.96
18,43.96
19,43.96
20,43.96
21,43.96
22,43.96
23,43.96
24,43.96
25,43.96
26,43.96
27,43.96
28,43.96
29,43.96
30,43.96
31,43.96
32,43.96
33,43.96
34,43.96
35,43.96
36,43.96
37,43.96
38,43.96
39,43.96
1,43.94
2,43.95
3,43.95
4,43.95
5,43.95
6,43.95
7,43.95
8,43.95
9,43.95
10,43.95
11,43.95
12,43.95
13,43.95
14,43.94
15,43.94
16,43.94
17,43.94
18,43.94
19,43.94
20,43.94
21,43.94
22,43.94
23,43.94
24,43.94
25,43.94
26,43.94
27,43.94
28,43.94
29,43.94
30,43.94
31,43.94
32,43.94
33,43.94
34,43.94
35,43.94
36,43.94
37,43.94
38,43.94
39,43.94
40,43.94
41,43.94
42,43.94
1,43.92
2,43.93
3,43.93
4,43.93
5,43.93
6,43.93
7,43.93
8,43.93
9,43.93
10,43.93
11,43.93
12,43.93
13,43.93
14,43.93
15,43.93
