step,total_magnetization_bohr_cell
1,43.91
2,43.91
3,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
31,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
31,43.91
32,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
31,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
31,43.91
32,43.91
33,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
31,43.91
32,43.91
1,43.91
2,43.91
3,43.91
4,43.91
5,43.91
6,43.91
7,43.91
8,43.91
9,43.91
10,43.91
11,43.91
12,43.91
13,43.91
14,43.91
15,43.91
16,43.91
17,43.91
18,43.91
19,43.91
20,43.91
21,43.91
22,43.91
23,43.91
24,43.91
25,43.91
26,43.91
27,43.91
28,43.91
29,43.91
30,43.91
31,43.91
