step,conv_thr_ry
90,2e-07
45,2e-07
77,2e-07
72,2e-07
33,2e-07
31,1.649e-07
28,1.339e-07
25,1.058e-07
28,7.37e-08
31,5.27e-08
35,5.25e-08
33,4.63e-08
38,3.45e-08
36,2.31e-08
39,2.6e-08
39,2.74e-08
37,3.14e-08
42,2.46e-08
40,2.18e-08
35,1.98e-08
37,2.09e-08
39,2.91e-08
38,2.23e-08
35,2.01e-08
33,1.67e-08
35,1.1e-08
40,1.39e-08
35,1.54e-08
34,1.29e-08
32,1.05e-08
37,1.15e-08
38,1.47e-08
32,1.23e-08
36,9.1e-09
35,7.8e-09
40,1.02e-08
41,1.35e-08
38,1e-08
38,8.5e-09
38,9.9e-09
36,9e-09
38,1.09e-08
38,7.8e-09
41,7.8e-09
42,8.1e-09
46,7.8e-09
38,6.8e-09
36,8.2e-09
33,6.2e-09
32,6.7e-09
32,7.2e-09
37,7.5e-09
38,8.6e-09
37,8e-09
36,6.3e-09
40,6.9e-09
35,4.9e-09
