step,energy_ry
91,-11738.25916955
15,-11738.25930132
33,-11738.25951443
30,-11738.25962405
31,-11738.25973182
31,-11738.25987801
32,-11738.26000371
31,-11738.2601082
37,-11738.26019983
30,-11738.2602782
33,-11738.26036914
37,-11738.26048397
37,-11738.26061825
36,-11738.26075538
40,-11738.26089811
38,-11738.26106728
36,-11738.26124215
36,-11738.26139766
35,-11738.26155569
35,-11738.26174513
34,-11738.2619529
39,-11738.26215752
36,-11738.26235962
39,-11738.26260145
37,-11738.26290393
41,-11738.26319753
33,-11738.26340557
38,-11738.26359324
30,-11738.26375476
32,-11738.26389041
35,-11738.26406125
38,-11738.26425679
42,-11738.26450951
35,-11738.26468839
39,-11738.26489508
42,-11738.26519052
42,-11738.26554319
38,-11738.26576689
32,-11738.26597176
33,-11738.26617472
35,-11738.26638623
37,-11738.26649183
37,-11738.26659465
37,-11738.26666928
34,-11738.26675472
36,-11738.26684315
34,-11738.26694756
35,-11738.26704732
34,-11738.26714952
36,-11738.26726453
36,-11738.26738379
38,-11738.26750143
37,-11738.26760999
38,-11738.26770833
34,-11738.26778342
34,-11738.26783502
