step,total_force_ry_bohr
87,0.043273
21,0.039002
29,0.023492
29,0.023776
27,0.016316
29,0.017236
29,0.015143
34,0.011521
30,0.010341
31,0.010774
30,0.01079
35,0.009418
33,0.009264
37,0.010347
37,0.01072
34,0.009895
35,0.009706
34,0.010365
33,0.010504
36,0.010031
40,0.010047
35,0.010364
37,0.010548
39,0.010409
35,0.010464
34,0.010534
37,0.011056
36,0.011126
36,0.010764
35,0.009597
33,0.008705
32,0.008137
35,0.008401
40,0.009269
36,0.00886
39,0.008261
42,0.008231
37,0.008749
35,0.008851
37,0.007973
33,0.007096
37,0.0084
35,0.006933
42,0.00642
37,0.006149
33,0.006012
35,0.005569
38,0.005499
