step,scf_accuracy_ry
1,108.39066669
2,104.27774458
3,45.74825076
4,21.34366401
5,22.67018392
6,31.46595913
7,19.67189628
8,7.51548099
9,7.31766409
10,8.93886509
11,5.42600521
12,7.39546755
13,0.65121798
14,0.40643002
15,0.2436773
16,0.50121604
17,0.08668138
18,0.11657765
19,0.08090781
20,0.02255802
21,0.01536775
22,0.01342894
23,0.00977197
24,0.01002607
25,0.00615861
26,0.00774831
27,0.00246934
28,0.00321799
29,0.00167381
30,0.00147789
31,0.00148603
32,0.00114474
33,0.00095753
34,0.00073656
35,0.0008053
36,0.0005326
37,0.00079169
38,0.00037449
39,0.0004874
40,0.00025934
41,0.00021546
42,0.00018814
43,0.00025555
44,0.00014021
45,0.00012058
46,8.006e-05
47,7.869e-05
48,5.262e-05
49,8.453e-05
50,4.912e-05
51,5.519e-05
52,2.544e-05
53,2.322e-05
54,2.345e-05
55,2.211e-05
56,2.036e-05
57,1.897e-05
58,1.372e-05
59,9.67e-06
60,7.01e-06
61,7.26e-06
62,5.08e-06
63,4.62e-06
64,5.27e-06
65,5.26e-06
66,4.39e-06
67,3.2e-06
68,2.91e-06
69,2.13e-06
70,2.16e-06
71,2.13e-06
72,1.85e-06
73,1.35e-06
74,1.77e-06
75,1.28e-06
76,1.27e-06
77,9.6e-07
78,1.22e-06
79,8.6e-07
80,8.6e-07
81,8.1e-07
82,7.3e-07
83,4.8e-07
84,5.4e-07
85,4.5e-07
86,5.2e-07
87,3.6e-07
88,5.5e-07
89,3e-07
90,3.2e-07
91,2.7e-07
92,2.2e-07
93,1.5e-07
1,0.00014866
2,0.00152532
3,1.814e-05
4,2.14e-06
5,1.66e-06
6,1.53e-06
7,1.72e-06
8,4e-07
9,2.2e-07
10,2.7e-07
11,1.2e-07
1,0.00013303
2,0.00153188
3,6.09e-06
4,2.13e-06
5,1.54e-06
6,1.43e-06
7,1.26e-06
8,4e-07
9,1.9e-07
10,2.9e-07
11,1.1e-07
12,2.1e-07
13,4e-08
14,4e-08
15,5e-08
16,3e-08
17,2e-08
18,6.5e-09
19,4.7e-09
20,5.2e-09
21,3.9e-09
22,1.8e-09
1,1.376e-05
2,3.975e-05
3,1.034e-05
4,3.69e-06
5,2.94e-06
6,3.05e-06
7,1.25e-06
8,5.9e-07
9,3.7e-07
10,1.5e-07
11,3.9e-07
12,9e-08
13,8e-08
14,1.2e-07
15,3e-08
16,2e-08
17,3e-08
18,3e-08
19,1e-08
20,7e-09
21,6.4e-09
22,4e-09
23,6.3e-09
24,2.2e-09
25,1.7e-09
