step,scf_accuracy_ry
1,113.07660276
2,110.3323782
3,45.82656382
4,20.96776318
5,22.19757447
6,33.1713323
7,21.06267249
8,9.93735178
9,5.38194773
10,5.10353256
11,6.39352777
12,7.67556557
13,0.45242168
14,0.34860107
15,0.24168789
16,0.19598654
17,0.15646672
18,0.08413983
19,0.16261993
20,0.02140279
21,0.01583764
22,0.01543919
23,0.01487037
24,0.0060478
25,0.00608402
26,0.00645331
27,0.00839298
28,0.00345655
29,0.00187329
30,0.0030794
31,0.00125844
32,0.00087111
33,0.00098976
34,0.00058966
35,0.00058824
36,0.00056334
37,0.00049004
38,0.00041534
39,0.00040773
40,0.00022719
41,0.00015391
42,0.00011464
43,0.00011935
44,0.00011193
45,8.806e-05
46,0.00010619
47,3.27e-05
48,2.083e-05
49,2.517e-05
50,2.046e-05
51,1.245e-05
52,7.07e-06
53,4.22e-06
54,3.99e-06
55,4.14e-06
56,2.44e-06
57,1.92e-06
58,1.88e-06
59,1.59e-06
60,1.97e-06
61,1.3e-06
62,1.22e-06
63,1.58e-06
64,8.6e-07
65,7.9e-07
66,3.7e-07
67,2.5e-07
68,2.8e-07
