step,total_magnetization_bohr_cell
1,73.54
2,110.03
3,109.98
4,109.47
5,108.24
6,89.37
7,80.74
8,70.0
9,67.74
10,64.79
11,46.21
12,44.51
13,42.12
14,42.14
15,42.13
16,42.1
17,42.04
18,42.03
19,42.06
20,42.03
21,42.03
22,42.03
23,42.04
24,42.03
25,42.03
26,42.03
27,42.03
28,42.03
29,42.03
30,42.03
31,42.03
32,42.03
33,42.03
34,42.03
35,42.03
36,42.03
37,42.03
38,42.03
39,42.03
40,42.03
41,42.03
42,42.02
43,42.02
44,42.02
45,42.02
46,42.02
47,42.02
48,42.02
49,42.02
50,42.02
51,42.02
52,42.02
53,42.02
54,42.02
55,42.02
56,42.02
