atom,element,valence_electron,bader_charge,delta_q
1,Ni,10,10.011566,-0.011566000000000187
2,Ni,10,10.011642,-0.011642000000000152
3,Ni,10,10.008587,-0.008587000000000344
4,Ni,10,10.009407,-0.009406999999999499
5,Ni,10,10.008594,-0.008594000000000435
6,Ni,10,10.013464,-0.013464000000000809
7,Ni,10,10.013335,-0.013334999999999653
8,Ni,10,10.011255,-0.011255000000000237
9,Ni,10,10.005139,-0.005138999999999783
10,Ni,10,10.009378,-0.009377999999999886
11,Ni,10,10.011089,-0.011089000000000127
12,Ni,10,10.013309,-0.013308999999999571
13,Ni,10,10.009838,-0.009838000000000235
14,Ni,10,10.00864,-0.008639999999999759
15,Ni,10,10.006857,-0.006857000000000113
16,Ni,10,10.00768,-0.007680000000000575
17,Ni,10,10.010145,-0.010144999999999627
18,Ni,10,10.01299,-0.012990000000000279
19,Ni,10,10.01012,-0.010120000000000573
20,Ni,10,10.009524,-0.009524000000000754
21,Ni,10,10.007676,-0.007676000000000016
22,Ni,10,10.01274,-0.012740000000000862
23,Ni,10,10.014188,-0.014188000000000756
24,Ni,10,10.009908,-0.009907999999999362
25,Ni,10,10.00986,-0.009859999999999758
26,Ni,10,10.010766,-0.010766000000000275
27,Ni,10,10.013011,-0.01301100000000055
28,Ni,10,10.014343,-0.014343000000000217
29,Ni,10,10.013332,-0.013332000000000122
30,Ni,10,10.010747,-0.010747000000000284
31,Ni,10,10.011423,-0.011423000000000627
32,Ni,10,10.012954,-0.012954000000000576
33,Ni,10,10.013303,-0.013303000000000509
34,Ni,10,10.012895,-0.012895000000000323
35,Ni,10,10.011757,-0.011756999999999351
36,Ni,10,10.010992,-0.01099199999999989
37,Ni,10,10.001695,-0.00169499999999978
38,Ni,10,10.025401,-0.02540100000000045
39,Ni,10,10.011454,-0.01145400000000052
40,Ni,10,9.987933,0.01206700000000005
41,Ni,10,9.992992,0.007008000000000791
42,Ni,10,10.012841,-0.01284099999999988
43,Ni,10,9.996566,0.003434000000000381
44,Ni,10,10.007929,-0.007929000000000741
45,Ni,10,9.992617,0.007383000000000806
46,Ni,10,10.002171,-0.002171000000000589
47,Ni,10,9.990956,0.009043999999999386
48,Ni,10,10.002995,-0.002995000000000303
49,Ni,10,9.979604,0.02039599999999986
50,Ni,10,9.976256,0.023744000000000653
51,Ni,10,9.988583,0.011416999999999788
52,Ni,10,9.990625,0.009375000000000355
53,Ni,10,9.991807,0.008193000000000339
54,Ni,10,9.970967,0.029033000000000087
55,Ni,10,9.984767,0.015233000000000274
56,Ni,10,9.976286,0.023714000000000013
57,Ni,10,9.961698,0.038301999999999836
58,Ni,10,9.980659,0.01934100000000072
59,Ni,10,9.973948,0.026051999999999964
60,Ni,10,9.98533,0.014670000000000627
61,Ni,10,9.981506,0.018494000000000455
62,Ni,10,9.979641,0.020358999999999128
63,Ni,10,9.981676,0.018323999999999785
64,Ni,10,9.971902,0.028097999999999956
65,Ni,10,9.977826,0.022173999999999694
66,Ni,10,9.97822,0.02177999999999969
67,Ni,10,9.992741,0.00725899999999946
68,Ni,10,9.972404,0.027596000000000842
69,Ni,10,9.989881,0.010118999999999545
70,Ni,10,9.985951,0.014048999999999978
71,Ni,10,9.961091,0.038909000000000304
72,Ni,10,9.996446,0.003553999999999391
73,Ag,11,10.982281,0.017718999999999596
74,Ag,11,10.977162,0.022838000000000136
75,Ag,11,10.980425,0.019574999999999676
76,Ag,11,10.986167,0.013832999999999984
77,Ag,11,10.986107,0.013892999999999489
78,Ag,11,10.986725,0.013275000000000148
